温度（℃）,原始放热功率（W/kg）,端点线性基线（W/kg）,校正放热功率（W/kg）,固化进度
14.05,403.86,403.86,0.0,1.0
14.084,408.99,403.8502272727273,5.139772727272714,0.9999957138006729
14.118,414.36,403.8404545454546,10.519545454545437,0.999982655060021
14.152,419.98999999999995,403.83068181818186,16.159318181818094,0.999960406814148
14.187,425.88,403.82062165775403,22.059378342245964,0.9999275977799251
14.221,432.06,403.8108489304813,28.24915106951869,0.9998856440990218
14.254,438.53,403.80136363636365,34.728636363636326,0.9998346698460693
14.288,445.29999999999995,403.7915909090909,41.508409090909026,0.9997710936550057
14.322,452.39,403.7818181818182,48.60818181818178,0.9996959429252329
14.356,459.81,403.7720454545455,56.03795454545451,0.9996086756036853
14.39,467.58,403.7622727272727,63.81772727272727,0.9995087246194636
14.425,475.7,403.75221256684495,71.94778743315504,0.9993921760235305
14.46,484.18,403.7421524064171,80.43784759358289,0.9992613598008601
14.493,493.05,403.73266711229945,89.31733288770056,0.9991239598720509
14.527,502.31000000000006,403.72289438502673,98.58710561497332,0.9989672611383484
14.562,511.98,403.71283422459896,108.26716577540105,0.9987896860380326
14.595,522.08,403.7033489304813,118.37665106951874,0.9986062404182218
14.631,532.5999999999999,403.6930013368984,128.9069986631015,0.9983878933153414
14.665,543.5799999999999,403.6832286096257,139.89677139037423,0.9981637303806206
14.698,555.01,403.67374331550803,151.33625668449196,0.997928006220622
14.733,566.92,403.6636831550802,163.25631684491975,0.9976579426274095
14.767,579.31,403.6539104278075,175.65608957219246,0.997375314152293
14.801,592.1999999999999,403.64413770053477,188.55586229946516,0.9970715876830707
14.835,605.6,403.63436497326205,201.96563502673797,0.9967459209526718
14.87,619.51,403.6243048128342,215.88569518716577,0.9963872143551186
14.904,633.95,403.6145320855615,230.33546791443854,0.9960150981253667
14.939,648.9300000000001,403.6044719251337,245.32552807486638,0.9956067645264937
14.973,664.46,403.59469919786096,260.8653008021391,0.9951846379257124
15.005,680.5400000000001,403.5855013368984,276.9544986631017,0.9947625175695525
15.04,697.1800000000001,403.5754411764706,293.6045588235295,0.9942727182476037
15.075,714.39,403.5653810160428,310.8246189839572,0.993753842948769
15.11,732.17,403.555320855615,328.614679144385,0.9932049130342561
15.144,750.52,403.54554812834226,346.9744518716577,0.9926415204812277
15.178,769.4499999999999,403.53577540106954,365.9142245989304,0.9920470228005771
15.211,788.95,403.5262901069519,385.42370989304817,0.9914388894969683
15.246,809.03,403.5162299465241,405.51377005347587,0.9907599051985011
15.281,829.68,403.5061697860963,426.17383021390367,0.9900459387521902
15.314,850.9,403.4966844919786,447.40331550802136,0.9893388649692801
15.35,872.6800000000001,403.48633689839573,469.19366310160433,0.9885295259975989
15.383,895.02,403.47685160427807,491.5431483957219,0.9877519051371941
15.417,917.91,403.46707887700535,514.4429211229947,0.9869129853944139
15.45,941.33,403.45759358288774,537.8724064171123,0.9860612408368762
15.485,965.28,403.4475334224599,561.8324665775401,0.9851171936009785
15.52,989.73,403.4374732620321,586.2925267379679,0.9841315798667655
15.553,1014.6800000000001,403.4279879679145,611.2520120320855,0.9831622867123165
15.588,1040.1000000000001,403.41792780748665,636.6820721925135,0.9820909913568759
15.621,1065.98,403.408442513369,662.571557486631,0.9810393748128813
15.657,1092.3,403.3980949197861,688.9019050802139,0.9798460475731302
15.691,1119.02,403.3883221925134,715.6316778074865,0.9786747679821054
15.724,1146.13,403.3788368983957,742.7511631016043,0.97749435217418
15.758,1173.6,403.369064171123,770.2309358288769,0.9762326343515135
15.793,1201.3899999999999,403.3590040106952,798.0309959893048,0.9748863519276987
15.828,1229.49,403.3489438502674,826.1410561497325,0.9734920731770111
15.86,1257.86,403.33974598930484,854.520254010695,0.9721729671278574
15.894,1286.46,403.3299732620321,883.1300267379679,0.9707238922641614
15.928,1315.27,403.32020053475935,911.9497994652406,0.9692269253063694
15.96,1344.25,403.3110026737968,940.9389973262032,0.967772642515732
15.996,1373.3500000000001,403.3006550802139,970.0493449197862,0.9660852735019759
16.029,1402.56,403.29116978609625,999.2688302139037,0.9644913063765032
16.064,1431.8200000000002,403.2811096256685,1028.5388903743317,0.9627505245353352
16.097,1461.1000000000001,403.2716243315508,1057.8283756684493,0.9610618178165699
16.131,1490.37,403.2618516042781,1087.1081483957219,0.9592730956348514
16.166,1519.5700000000002,403.25179144385027,1116.3182085561498,0.9573815530829667
16.199,1548.6899999999998,403.24230614973266,1145.4476938502671,0.9555508786193513
16.234,1577.6699999999998,403.23224598930483,1174.437754010695,0.953559361169139
16.266,1606.48,403.22304812834227,1203.2569518716577,0.9516931722763453
16.3,1635.0800000000002,403.21327540106955,1231.8667245989307,0.9496624549630526
16.334,1663.43,403.20350267379683,1260.2264973262031,0.9475842291624488
16.369,1691.5,403.193442513369,1288.306557486631,0.9453964280122746
16.401,1719.26,403.18424465240645,1316.0757553475935,0.9433523180881637
16.434,1746.66,403.1747593582888,1343.4852406417112,0.9411996680749127
16.47,1773.6799999999998,403.1644117647059,1370.515588235294,0.9388032531932956
16.502,1800.2800000000002,403.15521390374334,1397.124786096257,0.9366310063892599
16.536,1826.44,403.1454411764706,1423.2945588235293,0.9342789803095103
16.569,1852.13,403.13595588235296,1448.9940441176473,0.9319541484637638
16.603,1877.3200000000002,403.12618315508024,1474.1938168449199,0.9295164208622371
16.638,1901.99,403.1161229946524,1498.8738770053476,0.9269641757940918
16.67,1926.11,403.10692513368986,1523.00307486631,0.924592385509569
16.705,1949.67,403.09686497326203,1546.573135026738,0.921957292215461
16.738,1972.6399999999999,403.0873796791444,1569.5526203208556,0.9194350984554172
16.773,1995.03,403.0773195187166,1591.9526804812833,0.9167210881661199
16.806,2016.8,403.0678342245989,1613.732165775401,0.9141264052326662
16.841,2037.96,403.05777406417116,1634.902225935829,0.9113375985325691
16.873,2058.49,403.0485762032086,1655.4414237967912,0.9087550959272451
16.909,2078.3900000000003,403.03822860962566,1675.3517713903748,0.9058140642607814
16.94,2097.67,403.0293181818182,1694.6406818181817,0.9032517042184054
16.975,2116.31,403.0192580213904,1713.2907419786095,0.9003261481717154
17.01,2134.32,403.00919786096256,1731.3108021390376,0.8973691124739126
17.045,2151.7200000000003,402.9991377005348,1748.7208622994654,0.8943816616092976
17.077,2168.5,402.98993983957223,1765.5100601604277,0.8916234358799879
17.112,2184.6899999999996,402.9798796791444,1781.7101203208551,0.8885783066923868
17.145,2200.29,402.97039438502674,1797.3196056149732,0.8856814382247791
17.179,2215.32,402.960621657754,1812.3593783422461,0.8826712265961136
17.213,2229.79,402.9508489304813,1826.8391510695187,0.8796363977980555
17.249,2243.74,402.9405013368984,1840.7994986631013,0.8763979375341172
