衣料初温（℃）,时间（s）,贴身侧温度（℃）
27.0,0.0,27.00156443371909
27.0,0.25,27.064603614974708
27.0,0.5,27.09117114307441
27.0,0.75,27.111478073209383
27.0,1.0,27.128515987905576
27.0,1.25,27.143348952566708
27.0,1.5,27.156353128233587
27.0,1.75,27.16755913750026
27.0,2.0,27.1768253131649
27.0,2.25,27.183946807170223
27.0,2.5,27.188721341711183
27.0,2.75,27.19098336492006
27.0,3.0,27.190617372252824
27.0,3.25,27.18755904571745
27.0,3.5,27.181790191930524
27.0,3.75,27.173331167885657
27.0,4.0,27.1622328576077
27.0,4.25,27.14856923232528
27.0,4.5,27.132430924114217
27.0,4.75,27.11391993256674
27.0,5.0,27.09314726062547
27.0,5.25,27.070242005918917
27.0,5.5,27.045369215377317
27.0,5.75,27.018721931539424
27.0,6.0,26.99050047566875
27.0,6.25,26.960897598099407
27.0,6.5,26.93009162575274
27.0,6.75,26.898245398707562
27.0,7.0,26.865506692390625
27.0,7.25,26.832009124927637
27.0,7.5,26.797872657176104
27.0,7.75,26.763204828029924
27.0,8.0,26.72810228498313
27.0,8.25,26.692652084583706
27.0,8.5,26.656932391291125
27.0,8.75,26.621014021123514
27.0,9.0,26.584960879300386
27.0,9.25,26.54883040102125
27.0,9.5,26.512674342900606
27.0,9.75,26.47653883453213
27.0,10.0,26.440464962983032
27.0,10.25,26.40448955996804
27.0,10.5,26.36864607278008
27.0,10.75,26.33296478588281
27.0,11.0,26.297472810448642
27.0,11.25,26.2621945537462
27.0,11.5,26.227151401829605
27.0,11.75,26.19236226241978
27.0,12.0,26.157843372433035
27.0,12.25,26.12360846412256
27.0,12.5,26.089669455327083
27.0,12.75,26.05603711805784
27.0,13.0,26.022720935450092
27.0,13.25,25.989728855452295
27.0,13.5,25.957067236473915
27.0,13.75,25.92474107760041
27.0,14.0,25.892754626585987
27.0,14.25,25.861111114582062
27.0,14.5,25.82981261248429
27.0,14.75,25.79886027236354
27.0,15.0,25.768254639051094
27.0,15.25,25.73799586514791
27.0,15.5,25.708083647397327
27.0,15.75,25.67851694639014
27.0,16.0,25.649293882216366
27.0,16.25,25.62041210178943
27.0,16.5,25.591869272461327
27.0,16.75,25.563662667934217
27.0,17.0,25.53578925115229
27.0,17.25,25.50824597427399
27.0,17.5,25.481029508657645
27.0,17.75,25.454136254091406
27.0,18.0,25.427562487390595
27.0,18.25,25.4013043481858
27.0,18.5,25.375357697022185
27.0,18.75,25.349718084438074
27.0,19.0,25.324380833184602
27.0,19.25,25.29934104174251
27.0,19.5,25.274593724310375
27.0,19.75,25.250134226969635
27.0,20.0,25.225957933526768
27.0,20.25,25.202059858414145
27.0,20.5,25.17843491050471
27.0,20.75,25.15507822565031
27.0,21.0,25.131985367448852
27.0,21.25,25.109152092518883
27.0,21.5,25.086574049224012
27.0,21.75,25.064246840813148
27.0,22.0,25.04216616266792
27.0,22.25,25.020327895943307
27.0,22.5,24.998727932531246
27.0,22.75,24.977361920560693
27.0,23.0,24.956225496959348
27.0,23.25,24.93531463470882
27.0,23.5,24.91462541218722
27.0,23.75,24.89415374029823
27.0,24.0,24.873895395791823
27.0,24.25,24.853846126863235
27.0,24.5,24.83400172142188
27.0,24.75,24.81435807082028
27.0,25.0,24.794911320411174
27.0,25.25,24.775657850553042
27.0,25.5,24.756594039306567
27.0,25.75,24.737716196022358
27.0,26.0,24.719020690020447
27.0,26.25,24.700503993929736
27.0,26.5,24.68216260761361
27.0,26.75,24.66399302973992
27.0,27.0,24.645991790401048
27.0,27.25,24.628155521601368
27.0,27.5,24.61048115518968
27.0,27.75,24.59296596944771
27.0,28.0,24.575607232792553
27.0,28.25,24.558401968671326
27.0,28.5,24.541347087932753
27.0,28.75,24.524439590670994
27.0,29.0,24.507676589806536
27.0,29.25,24.491055234863843
27.0,29.5,24.474572685136163
27.0,29.75,24.45822609094848
27.0,30.0,24.442012626287127
27.0,30.25,24.425929615520378
27.0,30.5,24.40997462069151
27.0,30.75,24.394145350660384
27.0,31.0,24.37843950719233
27.0,31.25,24.36285477990103
27.0,31.5,24.347388966847056
27.0,31.75,24.332040002659646
27.0,32.0,24.316805882661082
27.0,32.25,24.301684602803835
27.0,32.5,24.286674143992876
27.0,32.75,24.27177245560864
27.0,33.0,24.256977488893682
27.0,33.25,24.242287288453312
27.0,33.5,24.227700028838377
27.0,33.75,24.213213948047628
27.0,34.0,24.19882725053332
27.0,34.25,24.184538103952832
27.0,34.5,24.17034467836037
27.0,34.75,24.156245173434755
27.0,35.0,24.142237852917773
27.0,35.25,24.1283211108157
27.0,35.5,24.114493454638545
27.0,35.75,24.100753410670215
27.0,36.0,24.087099466488578
27.0,36.25,24.07353009387322
27.0,36.5,24.060043805393875
27.0,36.75,24.046639177041076
27.0,37.0,24.03331485181746
27.0,37.25,24.02006954892745
27.0,37.5,24.00690204089596
27.0,37.75,23.993811086058233
27.0,38.0,23.9807953962988
27.0,38.25,23.96785366107355
27.0,38.5,23.954984574482495
27.0,38.75,23.942186852606678
27.0,39.0,23.92945925011556
27.0,39.25,23.91680058421061
27.0,39.5,23.904209733909966
27.0,39.75,23.89168562268614
27.0,40.0,23.87922720320304
27.0,40.25,23.866833455185205
27.0,40.5,23.85450339690907
27.0,40.75,23.84223609547913
27.0,41.0,23.83003065484159
27.0,41.25,23.81788618090661
27.0,41.5,23.805801765207942
27.0,41.75,23.793776486511035
27.0,42.0,23.781809385277803
27.0,42.25,23.769899463701403
27.0,42.5,23.758045726743475
27.0,42.75,23.746247249573475
27.0,43.0,23.734503204297432
27.0,43.25,23.72281283020601
27.0,43.5,23.71117538057257
27.0,43.75,23.699590102810127
27.0,44.0,23.688056250175645
27.0,44.25,23.6765731031602
27.0,44.5,23.66513997569015
27.0,44.75,23.653756198074348
27.0,45.0,23.64242106901363
27.0,45.25,23.63113385133668
27.0,45.5,23.619893798094896
27.0,45.75,23.60870016656604
27.0,46.0,23.59755222650428
27.0,46.25,23.586449275027157
27.0,46.5,23.5753906730685
27.0,46.75,23.564375861850962
27.0,47.0,23.55340433087399
27.0,47.25,23.542475547428683
27.0,47.5,23.531588926768073
27.0,47.75,23.520743857379085
27.0,48.0,23.509939742641905
27.0,48.25,23.49917602783633
27.0,48.5,23.48845219555786
27.0,48.75,23.47776774132938
27.0,49.0,23.467122152250603
27.0,49.25,23.456514910038262
27.0,49.5,23.44594550542161
27.0,49.75,23.435413450837892
27.0,50.0,23.424918281578158
27.0,50.25,23.414459545292452
27.0,50.5,23.404036778692586
27.0,50.75,23.39364950733049
27.0,51.0,23.383297254912094
27.0,51.25,23.372979535426996
27.0,51.5,23.36269585335358
27.0,51.75,23.35244571625958
27.0,52.0,23.342228647520237
27.0,52.25,23.332044193965448
27.0,52.5,23.321891925494214
27.0,52.75,23.311771429649447
27.0,53.0,23.30168230276252
27.0,53.25,23.29162414873821
27.0,53.5,23.281596580984115
27.0,53.75,23.271599218896476
27.0,54.0,23.26163168659243
27.0,54.25,23.251693614580194
27.0,54.5,23.241784633910928
27.0,54.75,23.231904366136646
27.0,55.0,23.22205242814519
27.0,55.25,23.21222844579485
27.0,55.5,23.202432072596334
27.0,55.75,23.19266299397802
27.0,56.0,23.182920916793524
27.0,56.25,23.1732055509044
27.0,56.5,23.163516596365024
27.0,56.75,23.15385374723951
27.0,57.0,23.14421669579964
27.0,57.25,23.13460512206994
27.0,57.5,23.125018696861748
27.0,57.75,23.11545709361396
27.0,58.0,23.105919996983243
27.0,58.25,23.096407107309894
27.0,58.5,23.086918140386096
27.0,58.75,23.07745282397886
27.0,59.0,23.068010890376055
27.0,59.25,23.058592074881815
27.0,59.5,23.049196119161433
27.0,59.75,23.039822774880506
27.0,60.0,23.0304718061701
27.0,60.25,23.021142988840676
27.0,60.5,23.011836104912888
27.0,60.75,23.002550927744956
27.0,61.0,22.993287220234052
27.0,61.25,22.984044742865414
27.0,61.5,22.97482325720619
27.0,61.75,22.965622524793915
