距人体侧位置（mm）,0 s,70 s,150 s,270 s
0,37,24.27424698,21.31776509,15.57441317
0.02333333333,37,24.26090836,21.30149941,15.55177992
0.04666666667,37,24.24709143,21.28498865,15.52798827
0.07,37,24.23279585,21.26823255,15.50303674
0.09333333333,37,24.21802234,21.25123137,15.47692626
0.1166666667,37,24.20276987,21.23398435,15.44965249
0.14,37,24.18703845,21.2164912,15.42121337
0.1633333333,37,24.17082916,21.19875222,15.39160945
0.1866666667,37,24.15414129,21.18076661,15.36083579
0.21,37,24.13697517,21.16253409,15.32888982
0.2333333333,37,24.11933227,21.14405497,15.2957718
0.2566666667,37,24.10121218,21.12532842,15.26147618
0.28,37,24.08261551,21.10635415,15.22599993
0.3033333333,37,24.06354419,21.08713251,15.18934322
0.3266666667,37,24.04399803,21.06766263,15.15149988
0.35,37,24.02397794,21.04794418,15.11246644
0.3733333333,37,24.00348636,21.02797763,15.07224326
0.3966666667,37,23.98252325,21.00776199,15.03082349
0.42,37,23.96108981,20.9872969,14.98820328
0.4433333333,37,23.93918903,20.96658297,14.94438356
0.4666666667,37,23.91682099,20.9456191,14.89935668
0.49,37,23.89398704,20.92440484,14.85311836
0.5133333333,37,23.87069096,20.90294107,14.80567073
0.5366666667,37,23.84693272,20.88122646,14.75700506
0.56,37,23.82271367,20.85926041,14.70711624
0.5833333333,37,23.79803878,20.83704433,14.65600906
0.6066666667,37,23.77290757,20.8145765,14.60367291
0.63,37,23.74732066,20.79185578,14.55010003
0.6533333333,37,23.7212857,20.76888499,14.49530229
0.6766666667,37,23.69480225,20.74566236,14.43926876
0.7,37,23.66786682,20.72218435,14.38197995
0.7133333333,37,23.64954708,20.70617723,14.34439411
0.7266666667,37,23.62893535,20.68796351,14.30618956
0.74,37,23.6060686,20.66756957,14.2673734
0.7533333333,37,23.58096898,20.64500766,14.22794864
0.7666666667,37,23.55361612,20.62024956,14.18790693
0.78,37,23.52402493,20.59330158,14.14724962
0.7933333333,37,23.49221654,20.56417626,14.10597971
0.8066666667,37,23.45818235,20.53285804,14.06409227
0.82,37,23.42193138,20.49934901,14.02158738
0.8333333333,37,23.38348091,20.46365955,13.97846735
0.8466666667,37,23.34282573,20.42577882,13.93472851
0.86,37,23.29997241,20.38570812,13.89037064
0.8733333333,37,23.25493579,20.34345709,13.8453958
0.8866666667,37,23.20771148,20.29901723,13.79980092
0.9,37,23.1583042,20.2523897,13.7535857
0.9133333333,37,23.10672732,20.2035844,13.70675224
0.9266666667,37,23.05297594,20.15259397,13.65929774
0.94,37,22.99705309,20.09941958,13.61122186
0.9533333333,37,22.93897145,20.04407221,13.56252701
0.9666666667,37,22.87872472,19.9865448,13.51321041
0.98,37,22.81631405,19.92683839,13.46327164
0.9933333333,37,22.75175259,19.86496619,13.41271372
1.006666667,37,22.68503166,19.80092048,13.36153361
1.02,37,22.6161498,19.73470143,13.3097306
1.033333333,37,22.54512305,19.66632693,13.25730898
1.046666667,37,22.47193889,19.59578707,13.20426501
1.06,37,22.39658993,19.5230779,13.15059668
1.073333333,37,22.31910302,19.44822964,13.09631177
1.086666667,37,22.23946442,19.37123271,13.04140653
1.1,37,22.15764558,19.29206335,12.9858731
1.11,37.00016976,22.08709558,19.22380149,12.93810402
1.12,36.99982993,22.01637981,19.15544204,12.88983794
1.13,36.99999921,21.94550033,19.08698638,12.84108156
1.14,37.00017371,21.87445813,19.01843526,12.79183821
1.15,36.99982532,21.80325114,18.94978761,12.74210221
1.16,36.99999832,21.73187991,18.88104392,12.69187563
1.17,37.00018244,21.66034538,18.81220488,12.64116166
1.18,36.99981581,21.58864643,18.74327,12.58995745
1.19,36.99999719,21.51678328,18.67423955,12.53826403
1.2,37.00019718,21.44475661,18.60511408,12.48608387
1.21,36.9998,21.37256571,18.53589329,12.43341519
1.22,36.99999559,21.3002107,18.4665774,12.38025874
1.23,37.0002204,21.22769216,18.39716687,12.32661663
1.24,36.9997752,21.15500955,18.3276615,12.27248759
1.25,36.99999306,21.08216299,18.25806148,12.2178723
1.26,37.00025694,21.009153,18.18836722,12.16277263
1.27,36.99973602,20.93597918,18.11857859,12.10718766
1.28,36.99998854,20.86264165,18.04869575,12.05111802
1.29,37.00031725,20.7891409,17.97871908,11.99456544
1.3,36.99967061,20.71547661,17.90864848,11.93752923
1.31,36.99997894,20.64164893,17.83848409,11.88000999
1.32,37.00042795,20.56765835,17.76822628,11.82200937
1.33,36.99954786,20.49350461,17.69787495,11.76352682
1.34,36.99995202,20.41918788,17.62743024,11.70456293
1.35,37.00068075,20.34470865,17.5568925,11.64511931
1.36,36.99925442,20.27006672,17.48626164,11.58519547
1.37,36.99981509,20.19526227,17.4155378,11.52479201
1.38,37.00170403,20.12029581,17.34472129,11.46391051
1.39,36.99799695,20.04516718,17.27381205,11.40255053
1.4,36.9843452,19.96987658,17.20281018,11.34071265
