时间（s）,第1层温降（℃）,第2层温降（℃）,第3层温降（℃）,固体层总温降（℃）
0,0,0,0.01565480018,0.01565480018
10,0.9383769809,1.719150635,2.345897329,5.003424944
20,1.076359085,1.782718445,2.28393545,5.14301298
30,1.103231025,1.734667009,2.190751452,5.028649485
40,1.121594046,1.682721883,2.101730007,4.906045936
50,0.8712281748,1.620842995,2.162864103,4.654935272
60,0.6788951849,1.549759101,2.189570746,4.418225032
70,0.6063801507,1.51022124,2.187769009,4.3043704
80,0.5788709498,1.487988025,2.178546261,4.245405236
90,0.5686964963,1.473666436,2.167099013,4.209461945
100,0.5664139827,1.463204005,2.154834697,4.184452684
110,0.5682192984,1.454827536,2.14225237,4.165299205
120,0.5724877984,1.44768682,2.129497232,4.14967185
130,0.5785627941,1.441336422,2.116515761,4.136414976
140,0.5862237193,1.435529849,2.10317838,4.124931949
150,0.5955807412,1.430120997,2.089253175,4.114954913
160,0.6069864066,1.425022326,2.07440829,4.106417023
170,0.620877068,1.420179163,2.058274641,4.099330872
180,0.6376693654,1.415542864,2.040482594,4.093694823
190,0.6570650088,1.411036593,2.021028176,4.089129778
200,0.6776754837,1.40646758,2.000448357,4.084591422
210,0.6972561873,1.40152367,1.979751202,4.078531059
220,0.7155037594,1.395976796,1.959025134,4.070505689
230,0.735726404,1.390001243,1.936665709,4.062393356
240,0.7652111722,1.384224081,1.908965759,4.058401012
250,0.8195924942,1.379810309,1.867339822,4.066742625
260,0.9460885099,1.380052034,1.785238411,4.111378955
270,1.192433219,1.396106845,1.645160453,4.233700517
280,1.230728896,1.388921527,1.599597697,4.219248119
290,1.244186502,1.362733249,1.551674009,4.158593761
300,1.255581642,1.33688552,1.506433807,4.09890097
310,1.266323358,1.312694858,1.464133789,4.043152005
311.25,1.267627843,1.309787702,1.459044426,4.036459971
