时间（s）,贴身侧温度（℃）,功能层均温（℃）,外表面温度（℃）,固化进度
0,37,37,36.98434519982072,0
0.25,36.9999999976847,36.99695812207632,35.968779223695044,0
0.5,36.99999970474444,36.97987747756809,35.55010508017531,0
0.75,36.99999385707807,36.944887650783436,35.22970089048682,0
1,36.99994591244762,36.894690215063555,34.96088656593171,0
1.25,36.99972867935438,36.83316611729607,34.725474146086654,0
1.5,36.99907966934355,36.763583635896076,34.51383963207205,0
1.75,36.99761757172154,36.688386972477446,34.320145850708606,0
2,36.994903473431805,36.609342381603234,34.14056778408699,0
2.25,36.99050616362228,36.52771686621013,33.972457200280274,0
2.5,36.98404812855918,36.44442092023693,33.813899386381976,0
2.75,36.9752285856747,36.360111418265355,33.66345997573189,0
3,36.96382898258945,36.27526365284284,33.520032274359956,0
3.25,36.949707879822725,36.190221644148295,33.382741002421035,0
3.5,36.93279067021011,36.105233574187395,33.25087923004838,0
3.75,36.9130576490474,36.02047706267435,33.12386564192941,0
4,36.89053240135021,35.9360774423553,33.001214704016604,0
4.25,36.865271447477554,35.85212114014581,32.88251529034818,0
4.5,36.83735548146682,35.76866558122468,32.76741502536854,0
4.75,36.80688221020518,35.68574658375785,32.65560859315732,0
5,36.77396064621248,35.60338391675803,32.54682886654452,0
5.25,36.73870664821708,35.52158549699801,32.4408400826768,0
5.5,36.70123949606476,35.44035056758949,32.33743253005545,0
5.75,36.661679303148475,35.35967210865583,32.23641836843483,0
6,36.62014509574554,35.27953866552761,32.13762830822448,0
6.25,36.57675341671515,35.199935733220926,32.04090894865325,0
6.5,36.531617337265175,35.12084680191123,31.946120625185877,0
6.75,36.484845783447206,35.04225414293728,31.853135653549646,0
7,36.43654310332413,34.96413939604283,31.761836884709094,0
7.25,36.386808816559,34.88648400436064,31.672116505150004,0
7.5,36.33573750091385,34.809269532854614,31.583875031863172,0
7.75,36.28341878029752,34.732477897697024,31.49702046280331,0
8,36.22993738702289,34.656091527741495,31.41146755228354,0
8.25,36.17537327723471,34.580093474395504,31.327137187430978,0
8.5,36.1198017833942,34.504467482453705,31.24395584696544,0
8.75,36.0632937915444,34.42919803156561,31.161855127538118,0
9,36.00591593405871,34.35427035578002,31.08077132595122,0
9.25,35.94773079088287,34.27967044688479,31.000645067979818,0
9.5,35.88879709406211,34.20538504592754,30.921420976389776,0
9.75,35.82916993171819,34.13140162627227,30.8430473722096,0
10,35.768900948694736,34.05770837075092,30.765476004462123,0
10.25,35.70803854189663,33.98429414485382,30.688661804463923,0
10.5,35.6466280489643,33.91114846742801,30.612562661511443,0
10.75,35.58471192939078,33.8382614799869,30.53713921733488,0
11,35.52232993754174,33.7656239154527,30.462354677146863,0
11.25,35.45951928730276,33.69322706693694,30.38817463546839,0
11.5,35.39631480827359,33.62106275699786,30.314566915198792,0
11.75,35.33274909357293,33.549123307687125,30.2415014186234,0
12,35.268852639420466,33.47740151160123,30.1689499892424,0
12.25,35.20465397673557,33.40589060407965,30.096886283447464,0
12.5,35.14017979504159,33.3345842366365,30.025285651202537,0
12.75,35.07545505899632,33.26347645167102,29.954125024983398,0
13,35.01050311788783,33.192561658471206,29.883382816316427,0
13.25,34.94534580844305,33.12183461050264,29.813038819327726,0
13.5,34.88000355129814,33.05129038395807,29.743074120773887,0
13.75,34.81449544147515,32.98092435753177,29.67347101607696,0
14,34.748839333201786,32.91073219337512,29.604212930930753,0
14.25,34.68305191940019,32.84070981918451,29.53528434808184,0
14.5,34.617148806158475,32.770853411369984,29.466670738926393,0
14.75,34.55114458248505,32.701159379251266,29.398358499588372,0
15,34.4850528856317,32.631624350227895,29.330334891174758,0
15.25,34.418886462256886,32.56224515587066,29.262587983925147,0
15.5,34.35265722568646,32.49301881888255,29.19510660499468,0
15.75,34.286376309514836,32.423942540879196,29.127880289628248,0
16,34.22005411777583,32.35501369094086,29.06089923550135,0
16.25,34.15370037189903,32.28622979488936,28.994154260018817,0
16.5,34.08732415465497,32.21758852524666,28.927636760377098,0
16.75,34.02093395127999,32.14908769183277,28.861338676209197,0
17,33.954537687960055,32.080725232963786,28.79525245464358,0
17.25,33.888142767841956,32.012499207212635,28.729371017619904,0
17.5,33.82175610472961,31.944407785697162,28.66368773131471,0
17.75,33.755384154613715,31.87644924486253,28.59819637754016,0
18,33.68903294517316,31.808621959726533,28.53289112698786,0
18.25,33.62270810337848,31.740924397558505,28.467766514198328,0
18.5,33.556414881318936,31.673355111964362,28.402817414144373,0
18.75,33.49015818036741,31.605912737351662,28.338039020324075,0
19,33.423942573789596,31.538595983750643,28.27342682426584,0
19.25,33.35777232789788,31.471403631968304,28.208976596354272,0
19.5,33.29165142184304,31.404334529054267,28.144684367891667,0
19.75,33.225583566131746,31.337387584058426,28.080546414315336,0
20,33.159572219951556,31.270561764061647,28.016559239496235,0
20.25,33.09362060738028,31.20385609046198,27.952719561049133,0
20.5,33.02773173255151,31.137269635499962,27.889024296589124,0
20.75,32.96190839384341,31.070801519007667,27.825470550873412,0
21,32.896153197153765,31.004450905367055,27.762055603771422,0
21.25,32.83046856832009,30.938217000664228,27.698776899009694,0
21.5,32.76485676473967,30.87209905002692,27.635632033641752,0
21.75,32.699319886241376,30.806096335133454,27.572618748196195,0
22,32.633859885257145,30.740208171882134,27.50973491745928,0
22.25,32.5684785763384,30.674433908210705,27.446978541851177,0
22.5,32.50317764505948,30.60877292205629,27.38434773935754,0
22.75,32.43795865634768,30.543224619446637,27.321840737980775,0
23,32.3728230622767,30.477788432714362,27.25945586867739,0
23.25,32.30777220935816,30.41246381882614,27.19719155875015,0
23.5,32.24280734536348,30.3472502578195,27.135046325665826,0
23.75,32.177929625706334,30.2821472513403,27.073018771270956,0
24,32.11314011941407,30.21715432127435,27.011107576380148,0
24.25,32.0484398147144,30.15227100846718,26.949311495712834,0
24.5,31.983829624262416,30.087496871526184,26.88762935315604,0
24.75,31.919310390030766,30.02283148569995,26.82606003733221,0
25,31.854882887884962,29.958274441829687,26.764602497452383,0
25.25,31.790547831863943,29.893825345368185,26.703255739436422,0
25.5,31.726305878184906,29.82948381546193,26.642018822282996,0
25.75,31.662157628990258,29.765249484092262,26.580890854673303,0
26,31.598103635853093,29.701121995271887,26.519870991793464,0
26.25,31.534144403057013,29.637101004293026,26.45895843236149,0
26.5,31.47028039066456,29.573186177023995,26.39815241584564,0
26.75,31.406512017388103,29.509377189251033,26.337452219861884,0
27,31.342839663275708,29.44567372606251,26.276857157738895,0
27.25,31.279263672224097,29.382075481272693,26.21636657623979,0
27.5,31.215784354329625,29.318582156882652,26.155979853430548,0
27.75,31.152401988087895,29.25519346257581,26.095696396685636,0
28,31.089116822451665,29.19190911524593,26.035515640821988,0
28.25,31.02592907875615,29.1287288385555,25.975437046353157,0
28.5,30.962838952520332,29.06565236252245,25.915460097855753,0
28.75,30.899846615132226,29.002679423133525,25.855584302441112,0
29,30.83695221542557,28.93980976198245,25.795809188325258,0
29.25,30.77415588115492,28.87704312593137,25.736134303490946,0
29.5,30.71145772037573,28.814379266794063,25.676559214435787,0
29.75,30.648857822735554,28.751817941039498,25.61708350500095,0
30,30.586356260681963,28.689358909514443,25.557706775275225,0
30.25,30.523953090592723,28.627001937183895,25.49842864056961,0
30.5,30.461648353833116,28.56474679288816,25.439248730457887,0
30.75,30.399442077745125,28.50259324911558,25.380166687878905,0
31,30.33733427657288,28.440541081789785,25.321182168296662,0
31.25,30.275324952328482,28.378590070070658,25.26229483891436,0
31.5,30.213414095602015,28.316739996168018,25.203504377939087,0
31.75,30.151601686319356,28.25499064516733,25.14481047389392,0
32,30.089887694451146,28.193341804866495,25.086212824973465,0
32.25,30.02827208067605,28.13179326562321,25.02771113844237,0
32.5,29.966754797001304,28.070344820212004,24.969305130071184,0
32.75,29.905335787343198,28.00899626369052,24.91099452360902,0
33,29.844014988070185,27.947747393274312,24.85277905029007,0
33.25,29.782792328510943,27.88659800821969,24.79465844837186,0
33.5,29.721667731429715,27.825547909714043,24.73663246270316,0
33.75,29.660641113470934,27.76459690077317,24.678700844319675,0
34,29.599712385575256,27.703744786145204,24.62086335006574,0
34.25,29.538881453368656,27.642991372220642,24.56311974224031,0
34.5,29.47814821752656,27.582336466948178,24.5054697882657,0
34.75,29.417512574114312,27.52177987975582,24.44791326037758,0
35,29.356974414905864,27.461321421477123,24.390449935334992,0
35.25,29.296533627681722,27.4009609042821,24.333079594148828,0
35.5,29.236190096507812,27.34069814161252,24.275802021827904,0
35.75,29.175943701996236,27.28053294812132,24.218617007141216,0
36,29.11579432154925,27.22046513961592,24.16152434239554,0
36.25,29.055741829587483,27.1604945330051,24.10452382322726,0
36.5,28.99578609776338,27.100620946249226,24.047615248407585,0
36.75,28.935926995160898,27.040844198313735,23.990798419660226,0
37,28.876164388482284,26.981164109125444,23.93407314149082,0
37.25,28.81649814222277,26.92158049953173,23.87743922102724,0
37.5,28.756928118834,26.862093191262222,23.82089646787017,0
37.75,28.697454178876853,26.80270200689296,23.76444469395327,0
38,28.63807618116442,26.743406769812776,23.708083713412243,0
38.25,28.578793982895704,26.68420730419184,23.651813342462383,0
38.5,28.51960743978068,26.62510343495215,23.595633399283866,0
38.75,28.46051640615722,26.56609498773987,23.539543703914443,0
39,28.401520735100537,26.507181788899466,23.483544078149,0
39.25,28.34262027852542,26.448363665449364,23.427634345445476,0
39.5,28.283814887281927,26.389640445059218,23.37181433083691,0
39.75,28.225104411244846,26.331011956028572,23.316083860848988,0
40,28.16648869939731,26.27247802726679,23.260442763422937,0
40.25,28.107967599909067,26.21403848827434,23.204890867843318,0
40.5,28.049540960209605,26.155693169125154,23.149428004670405,0
40.75,27.991208627056533,26.09744190045011,23.094054005676917,0
41,27.93297044659952,26.03928451342153,23.038768703788744,0
41.25,27.874826264440067,25.98122083973865,22.983571933029452,0
41.5,27.816775966500682,25.924615598711895,22.928469668839064,0.0000060321468998518435
