扫描速率（K/min）,潜热（kJ/kg）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,功能层平均温度（℃）,界面23温度（℃）,外表面温度（℃）,固化进度
2.0,611.5637399999999,0.0,37.0,37.0,37.0,37.0,36.98434519982072,0.0
2.0,611.5637399999999,0.25,36.9999999976847,36.99994943665386,36.99695812207632,36.98482403790169,35.968779223695044,0.0
2.0,611.5637399999999,0.5,36.99999970474444,36.999112774925266,36.97987747756809,36.91198011542911,35.55010508017531,0.0
2.0,611.5637399999999,0.75,36.99999385707807,36.99494300098015,36.944887650783436,36.803754114033325,35.22970089048682,0.0
2.0,611.5637399999999,1.0,36.99994591244762,36.984745861479226,36.894690215063555,36.67959073955328,34.96088656593171,0.0
2.0,611.5637399999999,1.25,36.99972867935438,36.96722806388106,36.83316611729607,36.54922875654545,34.725474146086654,0.0
2.0,611.5637399999999,1.5,36.99907966934355,36.94233650052321,36.763583635896076,36.41741583708,34.51383963207205,0.0
2.0,611.5637399999999,1.75,36.99761757172154,36.91068157347421,36.688386972477446,36.28650696681468,34.320145850708606,0.0
2.0,611.5637399999999,2.0,36.994903473431805,36.87312189677966,36.609342381603234,36.157670251965726,34.14056778408699,0.0
2.0,611.5637399999999,2.25,36.99050616362228,36.8305428901877,36.52771686621013,36.03146137283387,33.972457200280274,0.0
2.0,611.5637399999999,2.5,36.98404812855918,36.78375741809953,36.44442092023693,35.908110768317655,33.813899386381976,0.0
2.0,611.5637399999999,2.75,36.9752285856747,36.73347076001559,36.360111418265355,35.787673315894864,33.66345997573189,0.0
2.0,611.5637399999999,3.0,36.96382898258945,36.68027643511712,36.27526365284284,35.67010886988397,33.520032274359956,0.0
2.0,611.5637399999999,3.25,36.949707879822725,36.62466539623209,36.190221644148295,35.55532663003382,33.382741002421035,0.0
2.0,611.5637399999999,3.5,36.93279067021011,36.567039926297774,36.105233574187395,35.44321000438006,33.25087923004838,0.0
2.0,611.5637399999999,3.75,36.9130576490474,36.50772814583944,36.02047706267435,35.33363070367268,33.12386564192941,0.0
2.0,611.5637399999999,4.0,36.89053240135021,36.44699735127032,35.9360774423553,35.22645678027637,33.001214704016604,0.0
2.0,611.5637399999999,4.25,36.865271447477554,36.38506554556383,35.85212114014581,35.12155721011917,32.88251529034818,0.0
2.0,611.5637399999999,4.5,36.83735548146682,36.32211106673828,35.76866558122468,35.01880447566243,32.76741502536854,0.0
2.0,611.5637399999999,4.75,36.80688221020518,36.25828046005132,35.68574658375785,34.91807597982966,32.65560859315732,0.0
2.0,611.5637399999999,5.0,36.77396064621248,36.19369482853286,35.60338391675803,34.819254769411586,32.54682886654452,0.0
2.0,611.5637399999999,5.25,36.73870664821708,36.128454911834744,35.52158549699801,34.72222984721809,32.4408400826768,0.0
2.0,611.5637399999999,5.5,36.70123949606476,36.06264512567251,35.44035056758949,34.62689623797577,32.33743253005545,0.0
2.0,611.5637399999999,5.75,36.661679303148475,35.99633676384649,35.35967210865583,34.53315490671834,32.23641836843483,0.0
2.0,611.5637399999999,6.0,36.62014509574554,35.92959053200557,35.27953866552761,34.44091258957929,32.13762830822448,0.0
