时间（s）,层号,距人体侧位置（m）,温度（℃）
0.0,1,0.0,37.0
0.0,1,2.3333333333333332e-05,37.0
0.0,1,4.6666666666666665e-05,37.0
0.0,1,7e-05,37.0
0.0,1,9.333333333333333e-05,37.0
0.0,1,0.00011666666666666667,37.0
0.0,1,0.00014,37.0
0.0,1,0.00016333333333333334,37.0
0.0,1,0.00018666666666666666,37.0
0.0,1,0.00020999999999999998,37.0
0.0,1,0.00023333333333333333,37.0
0.0,1,0.00025666666666666665,37.0
0.0,1,0.00028,37.0
0.0,1,0.0003033333333333333,37.0
0.0,1,0.0003266666666666667,37.0
0.0,1,0.00035,37.0
0.0,1,0.0003733333333333333,37.0
0.0,1,0.00039666666666666664,37.0
0.0,1,0.00041999999999999996,37.0
0.0,1,0.00044333333333333334,37.0
0.0,1,0.00046666666666666666,37.0
0.0,1,0.00049,37.0
0.0,1,0.0005133333333333333,37.0
0.0,1,0.0005366666666666666,37.0
0.0,1,0.00056,37.0
0.0,1,0.0005833333333333333,37.0
0.0,1,0.0006066666666666666,37.0
0.0,1,0.00063,37.0
0.0,1,0.0006533333333333333,37.0
0.0,1,0.0006766666666666667,37.0
0.0,1,0.0007,37.0
0.0,2,0.0007,37.0
0.0,2,0.0007133333333333333,37.0
0.0,2,0.0007266666666666667,37.0
0.0,2,0.00074,37.00000000000001
0.0,2,0.0007533333333333333,37.0
0.0,2,0.0007666666666666667,37.0
0.0,2,0.00078,37.0
0.0,2,0.0007933333333333333,37.0
0.0,2,0.0008066666666666667,37.0
0.0,2,0.00082,37.0
0.0,2,0.0008333333333333333,37.0
0.0,2,0.0008466666666666667,37.0
0.0,2,0.00086,37.0
0.0,2,0.0008733333333333334,37.0
0.0,2,0.0008866666666666667,37.0
0.0,2,0.0009,37.0
0.0,2,0.0009133333333333333,37.0
0.0,2,0.0009266666666666667,37.0
0.0,2,0.00094,37.0
0.0,2,0.0009533333333333334,37.0
0.0,2,0.0009666666666666667,37.0
0.0,2,0.00098,37.0
0.0,2,0.0009933333333333333,37.0
0.0,2,0.0010066666666666666,37.0
0.0,2,0.00102,37.0
0.0,2,0.0010333333333333334,37.0
0.0,2,0.0010466666666666667,37.0
0.0,2,0.00106,37.0
0.0,2,0.0010733333333333333,37.0
0.0,2,0.0010866666666666668,37.0
0.0,2,0.0011,37.0
0.0,3,0.0011,37.0
0.0,3,0.00111,37.00016975805333
0.0,3,0.0011200000000000001,36.99982993208381
0.0,3,0.0011300000000000001,36.99999921041141
0.0,3,0.00114,37.00017370880734
0.0,3,0.00115,36.99982532218558
0.0,3,0.00116,36.99999831838907
0.0,3,0.00117,37.00018243512679
0.0,3,0.00118,36.999815805684634
0.0,3,0.00119,36.999997187006144
0.0,3,0.0012000000000000001,37.00019718049466
0.0,3,0.0012100000000000001,36.9998000008791
0.0,3,0.0012200000000000002,36.99999558673577
0.0,3,0.00123,37.00022039794451
0.0,3,0.00124,36.99977520182588
0.0,3,0.00125,36.99999306075059
0.0,3,0.00126,37.00025693638301
0.0,3,0.00127,36.99973601691115
0.0,3,0.00128,36.99998853834307
0.0,3,0.0012900000000000001,37.000317249224175
0.0,3,0.0013,36.99967060743856
0.0,3,0.00131,36.99997893682161
0.0,3,0.00132,37.00042795470118
0.0,3,0.00133,36.999547860997794
0.0,3,0.00134,36.99995201586229
0.0,3,0.00135,37.00068074923304
0.0,3,0.00136,36.99925442423573
0.0,3,0.0013700000000000001,36.99981509157536
0.0,3,0.0013800000000000002,37.00170402910134
0.0,3,0.0013900000000000002,36.99799694753282
0.0,3,0.0014,36.98434519982072
10.0,1,0.0,35.768900948694736
10.0,1,2.3333333333333332e-05,35.76666561286438
10.0,1,4.6666666666666665e-05,35.76248805772256
10.0,1,7e-05,35.75636534412553
10.0,1,9.333333333333333e-05,35.748298557973534
10.0,1,0.00011666666666666667,35.73827901920441
10.0,1,0.00014,35.72630191084951
10.0,1,0.00016333333333333334,35.71236672034502
10.0,1,0.00018666666666666666,35.69646283982149
10.0,1,0.00020999999999999998,35.67858361606251
10.0,1,0.00023333333333333333,35.65872715402669
10.0,1,0.00025666666666666665,35.63688086439242
10.0,1,0.00028,35.613036323782666
10.0,1,0.0003033333333333333,35.58719056222065
10.0,1,0.0003266666666666667,35.5593289516314
10.0,1,0.00035,35.529441374497424
10.0,1,0.0003733333333333333,35.49752423196368
10.0,1,0.00039666666666666664,35.46356075593561
10.0,1,0.00041999999999999996,35.427539186328175
10.0,1,0.00044333333333333334,35.38945598449947
10.0,1,0.00046666666666666666,35.34929201896587
10.0,1,0.00049,35.307033817110096
10.0,1,0.0005133333333333333,35.26267910643249
10.0,1,0.0005366666666666666,35.21620587617403
10.0,1,0.00056,35.167598385183794
10.0,1,0.0005833333333333333,35.1168582528842
10.0,1,0.0006066666666666666,35.0639594474867
10.0,1,0.00063,35.008880752442266
10.0,1,0.0006533333333333333,34.951635917452286
10.0,1,0.0006766666666666667,34.89219782913673
10.0,1,0.0007,34.830523967809334
10.0,2,0.0007,34.830523967809334
10.0,2,0.0007133333333333333,34.789717363372766
10.0,2,0.0007266666666666667,34.74780160139631
10.0,2,0.00074,34.70478629360575
10.0,2,0.0007533333333333333,34.66067348404962
10.0,2,0.0007666666666666667,34.61544479442965
10.0,2,0.00078,34.56909956783378
10.0,2,0.0007933333333333333,34.52163981878885
10.0,2,0.0008066666666666667,34.473053226354615
10.0,2,0.00082,34.423336813830296
10.0,2,0.0008333333333333333,34.372491353114725
10.0,2,0.0008466666666666667,34.32050668298729
10.0,2,0.00086,34.267379237511626
10.0,2,0.0008733333333333334,34.21310935198225
10.0,2,0.0008866666666666667,34.157687833404665
10.0,2,0.0009,34.10111091974913
10.0,2,0.0009133333333333333,34.04337904232475
10.0,2,0.0009266666666666667,33.98448340817338
10.0,2,0.00094,33.924420153490104
10.0,2,0.0009533333333333334,33.863190278089824
10.0,2,0.0009666666666666667,33.80078495442802
10.0,2,0.00098,33.73720013224593
10.0,2,0.0009933333333333333,33.67243801707046
10.0,2,0.0010066666666666666,33.606489213965894
10.0,2,0.00102,33.53934906578438
10.0,2,0.0010333333333333334,33.47102230920582
10.0,2,0.0010466666666666667,33.40149811592169
10.0,2,0.00106,33.33076930094651
10.0,2,0.0010733333333333333,33.25884744818999
10.0,2,0.0010866666666666668,33.1857216436816
10.0,2,0.0011,33.11137333307653
10.0,3,0.0011,33.11137333307653
10.0,3,0.00111,33.04720560427938
10.0,3,0.0011200000000000001,32.98206602505703
10.0,3,0.0011300000000000001,32.91596591509389
10.0,3,0.00114,32.8489099947857
10.0,3,0.00115,32.78088542373307
10.0,3,0.00116,32.71189454641368
10.0,3,0.00117,32.64194190416373
10.0,3,0.00118,32.5710202467046
10.0,3,0.00119,32.49912997668521
10.0,3,0.0012000000000000001,32.426274383746936
10.0,3,0.0012100000000000001,32.3524484399754
10.0,3,0.0012200000000000002,32.27765216803949
10.0,3,0.00123,32.20188826663697
10.0,3,0.00124,32.12515295479292
10.0,3,0.00125,32.047446262154516
10.0,3,0.00126,31.968770655380915
10.0,3,0.00127,31.88912320561857
10.0,3,0.00128,31.808504094688246
10.0,3,0.0012900000000000001,31.72691575827466
10.0,3,0.0013,31.644355916938892
10.0,3,0.00131,31.560824967424306
10.0,3,0.00132,31.47632543391324
10.0,3,0.00133,31.39085556088447
10.0,3,0.00134,31.304415985872843
10.0,3,0.00135,31.217009397131257
10.0,3,0.00136,31.12863447384435
10.0,3,0.0013700000000000001,31.039292102447682
10.0,3,0.0013800000000000002,30.948985188629095
10.0,3,0.0013900000000000002,30.857712777299064
10.0,3,0.0014,30.765476004462123
20.0,1,0.0,33.159572219951556
20.0,1,2.3333333333333332e-05,33.154564219190945
20.0,1,4.6666666666666665e-05,33.147441190432176
20.0,1,7e-05,33.13820102014668
20.0,1,9.333333333333333e-05,33.12684612490794
20.0,1,0.00011666666666666667,33.11337013943803
20.0,1,0.00014,33.09777106535932
20.0,1,0.00016333333333333334,33.08005169160223
20.0,1,0.00018666666666666666,33.06020569097102
20.0,1,0.00020999999999999998,33.03823117110102
20.0,1,0.00023333333333333333,33.01413144048997
20.0,1,0.00025666666666666665,32.98790008522966
20.0,1,0.00028,32.959535298110005
20.0,1,0.0003033333333333333,32.929041107912276
20.0,1,0.0003266666666666667,32.89641085131882
20.0,1,0.00035,32.86164276097707
20.0,1,0.0003733333333333333,32.82474188643944
20.0,1,0.00039666666666666664,32.785701075725946
20.0,1,0.00041999999999999996,32.74451849763998
20.0,1,0.00044333333333333334,32.701200721470364
20.0,1,0.00046666666666666666,32.65573971151445
20.0,1,0.00049,32.60813331118262
20.0,1,0.0005133333333333333,32.558390563459426
20.0,1,0.0005366666666666666,32.506501824025655
20.0,1,0.00056,32.45246382870769
20.0,1,0.0005833333333333333,32.396290362772454
20.0,1,0.0006066666666666666,32.3379687851609
20.0,1,0.00063,32.27749132171695
20.0,1,0.0006533333333333333,32.21488412172695
20.0,1,0.0006766666666666667,32.150134034960686
20.0,1,0.0007,32.083213134619754
20.0,2,0.0007,32.08321313461976
20.0,2,0.0007133333333333333,32.039037738916015
20.0,2,0.0007266666666666667,31.993796672319746
20.0,2,0.00074,31.947503518869535
20.0,2,0.0007533333333333333,31.90016493904954
20.0,2,0.0007666666666666667,31.8517679615368
20.0,2,0.00078,31.80231624411248
20.0,2,0.0007933333333333333,31.751816350817755
20.0,2,0.0008066666666666667,31.700261168624312
20.0,2,0.00082,31.647652082081706
20.0,2,0.0008333333333333333,31.59399436244692
20.0,2,0.0008466666666666667,31.539282976265973
20.0,2,0.00086,31.48351868502287
20.0,2,0.0008733333333333334,31.42670621342629
20.0,2,0.0008866666666666667,31.368841442329032
20.0,2,0.0009,31.309924870571283
20.0,2,0.0009133333333333333,31.24996115287173
20.0,2,0.0009266666666666667,31.188946528151355
20.0,2,0.00094,31.126881311905162
20.0,2,0.0009533333333333334,31.063770500550994
20.0,2,0.0009666666666666667,30.999610281004216
20.0,2,0.00098,30.934400710549134
20.0,2,0.0009933333333333333,30.868147681032994
20.0,2,0.0010066666666666666,30.800846855112297
20.0,2,0.00102,30.73249767779554
20.0,2,0.0010333333333333334,30.663108089419406
20.0,2,0.0010466666666666667,30.592672489864093
20.0,2,0.00106,30.521188082390704
20.0,2,0.0010733333333333333,30.448668587879606
20.0,2,0.0010866666666666668,30.37510832280616
20.0,2,0.0011,30.30049468927586
20.0,3,0.0011,30.30049468927586
20.0,3,0.00111,30.236196882514278
20.0,3,0.0011200000000000001,30.171066275037646
20.0,3,0.0011300000000000001,30.105114220624298
20.0,3,0.00114,30.038346395175136
20.0,3,0.00115,29.970753379348636
20.0,3,0.00116,29.902338768788194
20.0,3,0.00117,29.833108017082505
20.0,3,0.00118,29.76305641996508
20.0,3,0.00119,29.69218580571376
20.0,3,0.0012000000000000001,29.620500438441766
20.0,3,0.0012100000000000001,29.54799739344934
20.0,3,0.0012200000000000002,29.474678031267132
20.0,3,0.00123,29.40054595516652
20.0,3,0.00124,29.32559914665512
20.0,3,0.00125,29.24983879784338
20.0,3,0.00126,29.173268129362505
20.0,3,0.00127,29.095885662919642
20.0,3,0.00128,29.01769252274262
20.0,3,0.0012900000000000001,28.938691698113946
20.0,3,0.0013,28.85888205820153
20.0,3,0.00131,28.778264697028238
20.0,3,0.00132,28.696842461223618
20.0,3,0.00133,28.61461444790359
20.0,3,0.00134,28.53158173326498
20.0,3,0.00135,28.44774707806954
20.0,3,0.00136,28.36310972421749
20.0,3,0.0013700000000000001,28.277670731831066
20.0,3,0.0013800000000000002,28.191432817596603
20.0,3,0.0013900000000000002,28.104395305976592
20.0,3,0.0014,28.016559239496235
30.0,1,0.0,30.586356260681963
30.0,1,2.3333333333333332e-05,30.578755767344138
30.0,1,4.6666666666666665e-05,30.56915342280024
30.0,1,7e-05,30.55754729106876
30.0,1,9.333333333333333e-05,30.54393973266327
30.0,1,0.00011666666666666667,30.528324905833692
30.0,1,0.00014,30.51070111162177
30.0,1,0.00016333333333333334,30.491071188205762
30.0,1,0.00018666666666666666,30.469429456525553
30.0,1,0.00020999999999999998,30.445774442695537
30.0,1,0.00023333333333333333,30.42010959658613
30.0,1,0.00025666666666666665,30.39242927966428
30.0,1,0.00028,30.3627322177469
30.0,1,0.0003033333333333333,30.331022654281423
30.0,1,0.0003266666666666667,30.29729483116735
30.0,1,0.00035,30.261547623289633
30.0,1,0.0003733333333333333,30.22378634092657
30.0,1,0.00039666666666666664,30.184004872122713
30.0,1,0.00041999999999999996,30.142202133009413
30.0,1,0.00044333333333333334,30.098384957876494
30.0,1,0.00046666666666666666,30.052546497803476
30.0,1,0.00049,30.004685451453945
30.0,1,0.0005133333333333333,29.954811058619267
30.0,1,0.0005366666666666666,29.90291503751342
30.0,1,0.00056,29.848995118433677
30.0,1,0.0005833333333333333,29.79306505886631
30.0,1,0.0006066666666666666,29.735113821740537
30.0,1,0.00063,29.67513495400564
30.0,1,0.0006533333333333333,29.613153865048314
30.0,1,0.0006766666666666667,29.5491590749596
30.0,1,0.0007,29.483125236158724
30.0,2,0.0007,29.483125236158724
30.0,2,0.0007133333333333333,29.43957534547773
30.0,2,0.0007266666666666667,29.39502521189059
30.0,2,0.00074,29.34948787482476
30.0,2,0.0007533333333333333,29.30296989814309
30.0,2,0.0007666666666666667,29.25545941845204
30.0,2,0.00078,29.206960154183644
30.0,2,0.0007933333333333333,29.15747857395105
30.0,2,0.0008066666666666667,29.107008315247796
30.0,2,0.00082,29.05555095957019
30.0,2,0.0008333333333333333,29.003111755199644
30.0,2,0.0008466666666666667,28.94968629140204
30.0,2,0.00086,28.895275560628342
30.0,2,0.0008733333333333334,28.839884289260965
30.0,2,0.0008866666666666667,28.783508923143504
30.0,2,0.0009,28.72615020273135
30.0,2,0.0009133333333333333,28.667812777397558
30.0,2,0.0009266666666666667,28.608493426722557
30.0,2,0.00094,28.54819271279555
30.0,2,0.0009533333333333334,28.486915591565804
30.0,2,0.0009666666666666667,28.424658791934732
30.0,2,0.00098,28.36142262779144
30.0,2,0.0009933333333333333,28.29721287755723
30.0,2,0.0010066666666666666,28.232025778865733
30.0,2,0.00102,28.165861068447178
30.0,2,0.0010333333333333334,28.098726421598784
30.0,2,0.0010466666666666667,28.0306168978057
30.0,2,0.00106,27.961530141631197
30.0,2,0.0010733333333333333,27.89147920091589
30.0,2,0.0010866666666666668,27.820459056501043
30.0,2,0.0011,27.748458227496634
30.0,3,0.0011,27.748458227496634
30.0,3,0.00111,27.68643205151137
30.0,3,0.0011200000000000001,27.623630871538133
30.0,3,0.0011300000000000001,27.56006537147967
30.0,3,0.00114,27.49574094970765
30.0,3,0.00115,27.430648953509692
30.0,3,0.00116,27.364792841978467
30.0,3,0.00117,27.298177801285288
30.0,3,0.00118,27.230799560703105
30.0,3,0.00119,27.162659926658105
30.0,3,0.0012000000000000001,27.093762969395765
30.0,3,0.0012100000000000001,27.024106064611924
30.0,3,0.0012200000000000002,26.95369057250564
30.0,3,0.00123,26.88251993646497
30.0,3,0.00124,26.810592363012596
30.0,3,0.00125,26.7379090422238
30.0,3,0.00126,26.66447304730618
30.0,3,0.00127,26.590283072929143
30.0,3,0.00128,26.51534023082602
30.0,3,0.0012900000000000001,26.439647363265596
30.0,3,0.0013,26.36320347231314
30.0,3,0.00131,26.286009625263915
30.0,3,0.00132,26.20806851501827
30.0,3,0.00133,26.12937933898549
30.0,3,0.00134,26.049943130876947
30.0,3,0.00135,25.969762486541303
30.0,3,0.00136,25.888836720907992
30.0,3,0.0013700000000000001,25.807166835414026
30.0,3,0.0013800000000000002,25.724755367518036
30.0,3,0.0013900000000000002,25.641601691591863
30.0,3,0.0014,25.557706775275225
40.0,1,0.0,28.16648869939731
40.0,1,2.3333333333333332e-05,28.156459245580674
40.0,1,4.6666666666666665e-05,28.144552440266143
40.0,1,7e-05,28.130766471476583
40.0,1,9.333333333333333e-05,28.115103557073795
40.0,1,0.00011666666666666667,28.097558228772588
40.0,1,0.00014,28.078128904015973
40.0,1,0.00016333333333333334,28.05681825559593
40.0,1,0.00018666666666666666,28.03362097482983
40.0,1,0.00020999999999999998,28.00853569714058
40.0,1,0.00023333333333333333,27.981565675588705
40.0,1,0.00025666666666666665,27.952705646230925
40.0,1,0.00028,27.92195443828199
40.0,1,0.0003033333333333333,27.88931605510315
40.0,1,0.0003266666666666667,27.85478512690747
40.0,1,0.00035,27.81836062867066
40.0,1,0.0003733333333333333,27.780047569575846
40.0,1,0.00039666666666666664,27.739840253708973
40.0,1,0.00041999999999999996,27.697737700019744
40.0,1,0.00044333333333333334,27.653746351295332
40.0,1,0.00046666666666666666,27.607859825566432
40.0,1,0.00049,27.560076942388974
40.0,1,0.0005133333333333333,27.51040640353729
40.0,1,0.0005366666666666666,27.458840487728377
40.0,1,0.00056,27.405377110272408
40.0,1,0.0005833333333333333,27.35002921081987
40.0,1,0.0006066666666666666,27.292786488121457
40.0,1,0.00063,27.23364293852277
40.0,1,0.0006533333333333333,27.172622425827807
40.0,1,0.0006766666666666667,27.109714235294756
40.0,1,0.0007,27.044894653301373
40.0,2,0.0007,27.04489465330137
40.0,2,0.0007133333333333333,27.002180306392827
40.0,2,0.0007266666666666667,26.95852837624836
40.0,2,0.00074,26.913951099730035
40.0,2,0.0007533333333333333,26.86845464475081
40.0,2,0.0007666666666666667,26.822027906220978
40.0,2,0.00078,26.77467438357474
40.0,2,0.0007933333333333333,26.726400155045635
40.0,2,0.0008066666666666667,26.677199271703955
40.0,2,0.00082,26.627073229490605
40.0,2,0.0008333333333333333,26.57602696213056
40.0,2,0.0008466666666666667,26.524056349837874
40.0,2,0.00086,26.471162335827863
40.0,2,0.0008733333333333334,26.417349363803034
40.0,2,0.0008866666666666667,26.36261411636973
40.0,2,0.0009,26.306957299811423
40.0,2,0.0009133333333333333,26.250383284647253
40.0,2,0.0009266666666666667,26.192889065691276
40.0,2,0.00094,26.13447518122846
40.0,2,0.0009533333333333334,26.075146287994734
40.0,2,0.0009666666666666667,26.01489933268146
40.0,2,0.00098,25.953734620136068
40.0,2,0.0009933333333333333,25.89165757674227
40.0,2,0.0010066666666666666,25.82866468823532
40.0,2,0.00102,25.764755717878995
40.0,2,0.0010333333333333334,25.6999378685401
40.0,2,0.0010466666666666667,25.63420652151776
40.0,2,0.00106,25.56755947913428
40.0,2,0.0010733333333333333,25.500008977625708
40.0,2,0.0010866666666666668,25.431550324307977
40.0,2,0.0011,25.362172770731128
40.0,3,0.0011,25.362172770731128
40.0,3,0.00111,25.302420948845224
40.0,3,0.0011200000000000001,25.24194295842579
40.0,3,0.0011300000000000001,25.18074881130917
40.0,3,0.00114,25.11884356677119
40.0,3,0.00115,25.056219118273997
40.0,3,0.00116,24.99287870775767
40.0,3,0.00117,24.92882719522995
40.0,3,0.00118,24.864060579482675
40.0,3,0.00119,24.798580553292286
40.0,3,0.0012000000000000001,24.732390930334276
40.0,3,0.0012100000000000001,24.665489251275822
40.0,3,0.0012200000000000002,24.5978767899072
40.0,3,0.00123,24.52955677160461
40.0,3,0.00124,24.460527514513256
40.0,3,0.00125,24.390790131975486
40.0,3,0.00126,24.32034750143033
40.0,3,0.00127,24.24919839729859
40.0,3,0.00128,24.17734385838343
40.0,3,0.0012900000000000001,24.104786544588936
40.0,3,0.0013,24.031525517207008
40.0,3,0.00131,23.957561772246844
40.0,3,0.00132,23.88289782850395
40.0,3,0.00133,23.807532929161603
40.0,3,0.00134,23.73146803762974
40.0,3,0.00135,23.65470558064976
40.0,3,0.00136,23.577244910417473
40.0,3,0.0013700000000000001,23.499086959015795
40.0,3,0.0013800000000000002,23.420234097403785
40.0,3,0.0013900000000000002,23.34068573241626
40.0,3,0.0014,23.260442763422937
50.0,1,0.0,26.142168912625866
50.0,1,2.3333333333333332e-05,26.13038018215256
50.0,1,4.6666666666666665e-05,26.117365782198284
50.0,1,7e-05,26.103125364190376
50.0,1,9.333333333333333e-05,26.087661278047158
50.0,1,0.00011666666666666667,26.070972373468145
