"时间（s）","贴身侧温度（℃）","阈值时刻（s）","阈值温度（℃）"
0,37,103.4915847342144,15
0.25,36.999999993994805,115.66576634720914,10
0.5,36.9999992348085,,
0.75,36.999984102684785,,
1,36.99986029739071,,
1.25,36.99930060765645,,
1.5,36.99763211537802,,
1.75,36.99388140833713,,
2,36.98693391783607,,
2.25,36.97570199200288,,
2.5,36.959241894979144,,
2.75,36.936811093972494,,
3,36.907880400773166,,
3.25,36.87211910032174,,
3.5,36.82936721194317,,
3.75,36.779603915570696,,
4,36.72291713820751,,
4.25,36.6594766437292,,
4.5,36.58951141282202,,
4.75,36.513291273174886,,
5,36.431112354230315,,
5.25,36.3432858024509,,
5.5,36.2501291834624,,
5.75,36.1519600479841,,
6,36.04909121156161,,
6.25,35.94182737442062,,
6.5,35.83046277818211,,
6.75,35.71527965719417,,
7,35.59654729316771,,
7.25,35.4745215233206,,
7.5,35.34944458554052,,
7.75,35.22154521050097,,
8,35.09103889145974,,
8.25,34.958128278737725,,
8.5,34.823003658543904,,
8.75,34.68584348563913,,
9,34.54681494693055,,
9.25,34.4060745389459,,
9.5,34.263768646640145,,
9.75,34.12003411443713,,
10,33.97499880304354,,
10.25,33.82878212757659,,
10.5,33.68149557406352,,
10.75,33.533243192512366,,
11,33.384122065606164,,
11.25,33.234222752702884,,
11.5,33.0836297092846,,
11.75,32.93242168233002,,
12,32.78067208231644,,
12.25,32.62844933271441,,
12.5,32.47581719793872,,
12.75,32.32283509077743,,
13,32.169558360347395,,
13.25,32.01603856162755,,
13.5,31.862323707608635,,
13.75,31.70845850507175,,
14,31.554484574975127,,
14.25,31.40044065838911,,
14.5,31.24636280887689,,
14.75,31.09228457217449,,
15,30.93823715397843,,
15.25,30.78424957660492,,
15.5,30.630348825240844,,
15.75,30.476559984463922,,
16,30.32290636566895,,
16.25,30.169409926549527,,
16.5,30.016123930198102,,
16.75,29.863266966884872,,
17,29.711259347776796,,
17.25,29.560611012011464,,
17.5,29.411812772901484,,
17.75,29.265286692908894,,
18,29.121372914433163,,
18.25,28.98033251011417,,
18.5,28.84235659185037,,
18.75,28.707577829491274,,
19,28.5760819395109,,
19.25,28.447916965569757,,
19.5,28.323099973614514,,
19.75,28.201623751767055,,
20,28.083461562227946,,
20.25,27.968570593612835,,
20.5,27.856894788071877,,
20.75,27.74836861529628,,
21,27.642919560367776,,
21.25,27.540469842658137,,
21.5,27.44093774796476,,
21.75,27.344239127208496,,
22,27.250288512701367,,
22.25,27.158998835666512,,
22.5,27.070281757368633,,
22.75,26.98404885472159,,
23,26.90021316843756,,
23.25,26.818690165091027,,
23.5,26.739397751269454,,
23.75,26.66225567310868,,
24,26.58718599049223,,
24.25,26.514112085599084,,
24.5,26.442958563698404,,
24.75,26.37365255515362,,
25,26.306123457382004,,
25.25,26.240302591302715,,
25.5,26.176123541084742,,
25.75,26.11352323685839,,
26,26.052440594524207,,
26.25,25.99281601836943,,
26.5,25.934591625711246,,
26.75,25.877711904391685,,
27,25.82212384563688,,
27.25,25.767777044747483,,
27.5,25.714623222369813,,
27.75,25.66261578414007,,
28,25.611710042925534,,
28.25,25.561862913272595,,
28.5,25.513032939037327,,
28.75,25.465180558674945,,
29,25.418267861056936,,
29.25,25.37225862442084,,
29.5,25.327118252703894,,
29.75,25.28281334771602,,
30,25.23931169689812,,
30.25,25.196582546855453,,
30.5,25.15459667396857,,
30.75,25.113326342117304,,
31,25.072744908129767,,
31.25,25.032826442602612,,
31.5,24.99354614274335,,
31.75,24.954880476589523,,
32,24.91680704578791,,
32.25,24.879304319709956,,
32.5,24.842351445888557,,
32.75,24.805928433078762,,
33,24.770016375264486,,
33.25,24.73459712487447,,
33.5,24.699653291199905,,
33.75,24.66516823423825,,
34,24.63112601888035,,
34.25,24.597511357260764,,
34.5,24.564309461426646,,
34.75,24.531505971297427,,
35,24.499087075462693,,
35.25,24.467039568766797,,
35.5,24.435350811176587,,
35.75,24.404008649214873,,
36,24.373001368588145,,
36.25,24.34231782094425,,
36.5,24.311947364284027,,
36.75,24.28187970862832,,
37,24.252104881634818,,
37.25,24.222613305012974,,
37.5,24.193395819121978,,
37.75,24.16444369120252,,
38,24.135748583474168,,
38.25,24.10730245416468,,
38.5,24.0790975170478,,
38.75,24.05112628237976,,
39,24.023381529756946,,
39.25,23.99585620913712,,
39.5,23.968543440090546,,
39.75,23.94143662652314,,
40,23.914529525302207,,
40.25,23.88781617902916,,
40.5,23.861290764980247,,
40.75,23.834947588459098,,
41,23.808781150015164,,
41.25,23.78278615170136,,
41.5,23.75695748062591,,
41.75,23.731290202308998,,
42,23.705779542434367,,
42.25,23.68042083659347,,
42.5,23.655209528878025,,
42.75,23.630141214404496,,
43,23.605211702942395,,
43.25,23.580417011459012,,
43.5,23.55575330604043,,
43.75,23.53121684741328,,
44,23.50680399923541,,
44.25,23.482511246104995,,
44.5,23.458335158884722,,
44.75,23.434272293107924,,
45,23.410319276435132,,
45.25,23.386472922822204,,
45.5,23.362730123156624,,
45.75,23.339087790288847,,
46,23.315542896552973,,
46.25,23.29209249869984,,
46.5,23.268733731188572,,
46.75,23.245463807374122,,
47,23.222280040394047,,
47.25,23.199179837957228,,
47.5,23.176160677659894,,
47.75,23.153220071953434,,
48,23.13035555041226,,
48.25,23.10756466700789,,
48.5,23.0848450047054,,
48.75,23.062194206938802,,
49,23.03961000141939,,
49.25,23.017090175435232,,
49.5,22.99463253756753,,
49.75,22.972234920894287,,
50,22.94989520503136,,
50.25,22.927611303288863,,
50.5,22.90538115317004,,
50.75,22.883202713871423,,
51,22.861073968403762,,
51.25,22.83899292921374,,
51.5,22.81695762862472,,
51.75,22.79496611651296,,
52,22.77301646484633,,
52.25,22.75110675903195,,
52.5,22.729235098087337,,
52.75,22.707399601452096,,
53,22.685598399064126,,
53.25,22.663829628471266,,
53.5,22.6420914374926,,
53.75,22.62038198200655,,
54,22.5986994342823,,
54.25,22.57704198492482,,
54.5,22.55540782092801,,
54.75,22.533795130085316,,
55,22.512202108328914,,
55.25,22.490626933985105,,
55.5,22.46906778301121,,
55.75,22.447522853449815,,
56,22.42599031397188,,
56.25,22.404468300370233,,
56.5,22.382954966620762,,
56.75,22.361448490846424,,
57,22.339947067287568,,
57.25,22.318448881324468,,
57.5,22.296952051484567,,
57.75,22.275454641738392,,
58,22.25395472619486,,
58.25,22.232450367295655,,
58.5,22.210939611957023,,
58.75,22.189420528275704,,
59,22.167891184562123,,
59.25,22.146349642036434,,
59.5,22.124793960468953,,
59.75,22.10322214471409,,
60,22.081632154843152,,
60.25,22.060021966039994,,
60.5,22.038389547200506,,
60.75,22.016732856692812,,
61,21.99504985191492,,
61.25,21.97333841776412,,
61.5,21.95159639202679,,
