外对流模型,h_e（W/(m2 K)）,扫描速率（K/min）,设置,时间步（s）,每层网格数,模态t15（s）,有限体积t15（s）,t15较模态偏差（%）,模态t10（s）,有限体积t10（s）,t10较模态偏差（%）,t15较基准有限体积变化（%）,t10较基准有限体积变化（%）,最大Newton迭代,最大方程残差,累计潜热（J/m2）,潜热上界（J/m2）
ISO 11079简化,18.46,2.0,基准,0.025,24,192.02800925434013,194.23651385761707,1.1500950365796805,204.2621942219772,206.3321159169353,1.0133650540876122,0.0,0.0,8,1.6248913325966896e-10,135106.6614408,135106.6614408
ISO 11079简化,18.46,5.0,基准,0.025,24,103.4915847342144,104.55396048072764,1.026533460900824,115.66576634720914,116.6830809305816,0.8795295405890852,0.0,0.0,8,1.5581402834641267e-10,54042.66457632001,54042.66457632
ISO 11079简化,18.46,10.0,基准,0.025,24,74.03513620319117,74.71421107807691,0.9172332350709878,86.16747506666174,86.85213689816356,0.7945710733338219,0.0,0.0,7,9.977374482161849e-11,27021.332288160003,27021.33228816
旧PMV关系,20.957814771583415,2.0,基准,0.025,24,171.40334538516566,173.45166199568152,1.195027206682005,182.2343143506236,184.12514247235777,1.0375807259307688,0.0,0.0,8,1.604373300878592e-10,135106.6614408,135106.6614408
旧PMV关系,20.957814771583415,5.0,基准,0.025,24,92.66957382252926,93.6502392229257,1.0582388155518132,103.43902829605813,104.35754472249268,0.8879785914129215,0.0,0.0,8,1.858561082812571e-10,54042.66457632001,54042.66457632
旧PMV关系,20.957814771583415,10.0,基准,0.025,24,66.48136409550564,67.10520476468835,0.9383692372595074,77.20675453382569,77.82151322880102,0.7962498860200102,0.0,0.0,7,9.823575286560526e-11,27021.332288160003,27021.33228816
Kuwabara经验,21.95,2.0,基准,0.025,24,164.57453631937474,166.57343072761554,1.214583041183072,174.94580969640822,176.78146536939533,1.049271014934634,0.0,0.0,8,2.1557733376198485e-10,135106.6614408,135106.6614408
Kuwabara经验,21.95,5.0,基准,0.025,24,89.08417426307342,90.0390750056233,1.0719083950084953,99.39347596584511,100.28077805025455,0.8927166252987747,0.0,0.0,8,1.9487700342324388e-10,54042.66457632001,54042.66457632
Kuwabara经验,21.95,10.0,基准,0.025,24,63.97743273414523,64.58351461367529,0.9473369806015812,74.24189055798404,74.83420139410413,0.7978121673201305,0.0,0.0,7,1.0023881724663397e-10,27021.332288160003,27021.33228816
ISO 11079简化,18.46,5.0,时间步减半,0.0125,24,103.4915847342144,104.55086823627992,1.0235455421674742,115.66576634720914,116.67883726911984,0.8758606404505443,-0.002957558406679541,-0.003636912419446508,8,9.995837491061366e-11,54042.66457632001,54042.66457632
ISO 11079简化,18.46,5.0,网格加密,0.025,36,103.4915847342144,104.55388029546005,1.0264559809126705,115.66576634720914,116.68325500888255,0.8796800417325571,-7.669271180482445e-05,0.00014918898230123254,8,1.07802489157649e-10,54042.66457632001,54042.66457632
