扫描速率（K/min）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,界面23温度（℃）,外表面温度（℃）,平均固化进度
5.0,0.0,37.0,37.0,37.0,37.0,0.0
5.0,0.025,37.0,36.99999999981369,36.99997643560492,36.16139425728711,0.0
5.0,0.05,37.0,36.99999999767657,36.99984242976573,35.72743848273882,0.0
5.0,0.07500000000000001,36.99999999999999,36.99999998483718,36.99942374311113,35.408581147007034,0.0
5.0,0.1,36.999999999999964,36.999999930997696,36.998467757507406,35.1454515556234,0.0
5.0,0.125,36.99999999999981,36.99999975381829,36.99667799426732,34.91673671306275,0.0
5.0,0.15,36.999999999999126,36.999999266003606,36.993755999857235,34.71199262155662,0.0
5.0,0.175,36.9999999999966,36.99999809627665,36.98943598944257,34.52517758313987,0.0
5.0,0.19999999999999998,36.9999999999883,36.999995585242836,36.983506007272695,34.35242450346181,0.0
5.0,0.22499999999999998,36.99999999996389,36.9999906623847,36.97581596495761,34.191081899629765,0.0
5.0,0.24999999999999997,36.99999999989834,36.999981714699636,36.966276040775384,34.039238326475605,0.0
5.0,0.27499999999999997,36.999999999735785,36.99996645974474,36.95484942720971,33.89546210145029,0.0
5.0,0.3,36.999999999359744,36.999941835747336,36.94154264568912,33.758648018285186,0.0
5.0,0.325,36.99999999854187,36.99990391929992,36.92639555962232,33.627921775512945,0.0
5.0,0.35000000000000003,36.999999996857994,36.999847877704504,36.90947227117496,33.5025776042694,0.0
5.0,0.37500000000000006,36.99999999355772,36.99976795909141,36.890853420162934,33.38203600828107,0.0
5.0,0.4000000000000001,36.9999999873702,36.999657519722334,36.87062999595273,33.265814219560006,0.0
5.0,0.4250000000000001,36.99999997622657,36.99950908487587,36.848898556921455,33.153504987070946,0.0
5.0,0.4500000000000001,36.99999995687736,36.99931443763299,36.825757658390884,33.04476099572484,0.0
5.0,0.47500000000000014,36.999999924382664,36.999064728752266,36.80130526690215,32.93928319123716,0.0
5.0,0.5000000000000001,36.99999987145315,36.99875060052901,36.775636951723804,32.836811877547206,0.0
5.0,0.5250000000000001,36.99999978762204,36.99836231787888,36.748844672847405,32.737119822517954,0.0
5.0,0.5500000000000002,36.99999965823167,36.997889900665776,36.72101601700848,32.640006844631124,0.0
5.0,0.5750000000000002,36.999999463222714,36.9973232523147,36.69223376382199,32.545295509467444,0.0
5.0,0.6000000000000002,36.99999917572,36.996652280857504,36.6625756905857,32.452827669871155,0.0
5.0,0.6250000000000002,36.99999876041532,36.99586700964023,36.63211454608499,32.36246165591671,0.0
5.0,0.6500000000000002,36.99999817175453,36.9949576759006,36.600918141079156,32.27406997131918,0.0
5.0,0.6750000000000003,36.99999735194289,36.99391481626365,36.5690495166592,32.18753738885915,0.0
5.0,0.7000000000000003,36.999996228789406,36.992729338886086,36.536567162021065,32.10275936332533,0.0
5.0,0.7250000000000003,36.99999471341644,36.991392582508595,36.5035252610378,32.01964069945207,0.0
5.0,0.7500000000000003,36.999992697865835,36.98989636306195,36.469973952893696,31.93809442638536,0.0
5.0,0.7750000000000004,36.99999005263664,36.98823300873756,36.435959596416666,31.85804084074507,0.0
5.0,0.8000000000000004,36.99998662419192,36.986395384594985,36.401525030974916,31.77940668832966,0.0
5.0,0.8250000000000004,36.9999822324734,36.984376907860835,36.36670982917071,31.702124460612755,0.0
5.0,0.8500000000000004,36.999976668462914,36.98217155509229,36.33155053828591,31.626131786892564,0.0
5.0,0.8750000000000004,36.999969691828284,36.97977386235239,36.296080908674405,31.551370906623983,0.0
5.0,0.9000000000000005,36.99996102868945,36.97717891948578,36.2603321081808,31.477788209342975,0.0
5.0,0.9250000000000005,36.99995036953754,36.97438235950516,36.224332922285825,31.40533383187074,0.0
5.0,0.9500000000000005,36.99993736733611,36.97138034400768,36.18810994010685,31.333961304299542,0.0
5.0,0.9750000000000005,36.999921635829615,36.96816954544489,36.15168772666862,31.26362723771739,0.0
5.0,1.0000000000000004,36.99990274807983,36.964747126973464,36.11508898204384,31.194291047803,0.0
5.0,1.0250000000000004,36.99988023524643,36.961110720520644,36.07833468807348,31.125914709376254,0.0
5.0,1.0500000000000003,36.99985358562321,36.957258403610425,36.04144424343517,31.058462537768055,0.0
5.0,1.0750000000000002,36.99982224393724,36.95318867541529,36.00443558784839,30.991900993512743,0.0
5.0,1.1,36.99978561091384,36.948900432424246,35.96732531620126,30.926198507394073,0.0
5.0,1.125,36.999743043106335,36.94439294405196,35.93012878336168,30.86132532331325,0.0
5.0,1.15,36.999693852986184,36.93966582845502,35.89286020040269,30.797253356812192,0.0
5.0,1.1749999999999998,36.999637309285696,36.93471902877003,35.85553272293275,30.73395606739039,0.0
5.0,1.1999999999999997,36.999572637582915,36.92955278994364,35.81815853217819,30.671408343010153,0.0
5.0,1.2249999999999996,36.999499021116016,36.92416763628626,35.78074890942065,30.609586395401564,0.0
5.0,1.2499999999999996,36.99941560181253,36.918564349848545,35.74331430434824,30.548467664961766,0.0
5.0,1.2749999999999995,36.99932148151738,36.91274394969187,35.705864397835484,30.488030734199196,0.0
5.0,1.2999999999999994,36.99921572340256,36.90670767210114,35.66840815962623,30.428255248806323,0.0
5.0,1.3249999999999993,36.99909735354062,36.900456951768525,35.63095390135424,30.36912184555849,0.0
5.0,1.3499999999999992,36.99896536262369,36.893993403961275,35.59350932529971,30.310612086334157,0.0
5.0,1.3749999999999991,36.998818707809654,36.88731880767357,35.5560815692459,30.25270839763633,0.0
5.0,1.399999999999999,36.9986563146773,36.88043508975204,35.51867724776821,30.195394015067595,0.0
5.0,1.424999999999999,36.99847707927259,36.87334430997622,35.481302490259516,30.138652932274596,0.0
5.0,1.4499999999999988,36.99827987022876,36.86604864706919,35.44396297596825,30.082469853932412,0.0
5.0,1.4749999999999988,36.99806353094367,36.858550385608176,35.40666396630179,30.026830152387276,0.0
5.0,1.4999999999999987,36.9978268817986,36.85085190380193,35.36941033462522,29.97171982761783,0.0
5.0,1.5249999999999986,36.99756872240374,36.84295566209874,35.33220659376496,29.91712547021158,0.0
5.0,1.5499999999999985,36.99728783385634,36.83486419258763,35.295056921408595,29.86303422708555,0.0
5.0,1.5749999999999984,36.996982980998865,36.82658008915425,35.2579651835751,29.809433769708072,0.0
5.0,1.5999999999999983,36.99665291466523,36.81810599835271,35.22093495631425,29.756312264603917,0.0
5.0,1.6249999999999982,36.996296373904435,36.80944461095493,35.1839695457802,29.703658345946657,0.0
5.0,1.6499999999999981,36.99591208817185,36.800598654139286,35.147072006811506,29.65146109006183,0.0
5.0,1.674999999999998,36.99549877947962,36.791570884281725,35.11024516013816,29.599709991681745,0.0
5.0,1.699999999999998,36.99505516449835,36.78236408031301,35.07349160832604,29.548394941808006,0.0
5.0,1.7249999999999979,36.99457995660353,36.772981037607465,35.0368137505592,29.497506207051693,0.0
5.0,1.7499999999999978,36.9940718678608,36.76342456236974,35.00021379635237,29.44703441033318,0.0
5.0,1.7749999999999977,36.9935296109452,36.75369746648751,34.96369377827753,29.396970512834606,0.0
5.0,1.7999999999999976,36.99295190099038,36.74380256281965,34.927255563781834,29.34730579710765,0.0
5.0,1.8249999999999975,36.992337457364165,36.73374266089093,34.89090086616717,29.298031851248155,0.0
5.0,1.8499999999999974,36.99168500536825,36.72352056296557,34.854631254796196,29.249140554056833,0.0
5.0,1.8749999999999973,36.99099327785964,36.713139060473814,34.8184481645838,29.200624061112542,0.0
5.0,1.8999999999999972,36.99026101679279,36.70260093076692,34.78235290482853,29.152474791690793,0.0
5.0,1.9249999999999972,36.98948697468141,36.69190893417737,34.7463466674336,29.10468541646607,0.0
5.0,1.949999999999997,36.988669915979635,36.68106581136267,34.710430534563386,29.05724884594155,0.0
5.0,1.974999999999997,36.987808618382736,36.67007428091233,34.67460548577735,29.010158219554697,0.0
5.0,1.999999999999997,36.98690187404779,36.658937037198754,34.63887240468004,28.963406895411207,0.0
5.0,2.024999999999997,36.98594849073521,36.64765674845427,34.60323208512274,28.916988440603905,0.0
5.0,2.0499999999999967,36.98494729287225,36.636236055057395,34.56768523698939,28.870896622076465,0.0
5.0,2.0749999999999966,36.98389712253995,36.624677568012835,34.532232491597036,28.825125397995095,0.0
5.0,2.0999999999999965,36.98279684038518,36.612983867610325,34.496874406738364,28.77966890959423,0.0
5.0,2.1249999999999964,36.981645326459585,36.6011575022489,34.46161147139209,28.734521473464913,0.0
5.0,2.1499999999999964,36.98044148098755,36.589200987413705,34.42644411012467,28.68967757425687,0.0
5.0,2.1749999999999963,36.979184225065254,36.577116804793526,34.39137268720518,28.64513185776757,0.0
5.0,2.199999999999996,36.97787250129311,36.564907401528046,34.356397510453434,28.60087912439354,0.0
5.0,2.224999999999996,36.97650527434404,36.5525751895744,34.32151883483999,28.556914322921,0.0
5.0,2.249999999999996,36.9750815314698,36.54012254518358,34.286736865855126,28.513232544634622,0.0
5.0,2.274999999999996,36.973600282948055,36.527551808477796,34.252051762662795,28.469829017724713,0.0
5.0,2.299999999999996,36.97206056247256,36.51486528312042,34.21746364105417,28.426699101974545,0.0
5.0,2.3249999999999957,36.97046142748896,36.50206523607096,34.18297257621444,28.38383828371092,0.0
5.0,2.3499999999999956,36.96880195947878,36.48915389741782,34.148578605315514,28.34124217100208,0.0
5.0,2.3749999999999956,36.967081264194036,36.47613346028232,34.11428172994625,28.298906489088424,0.0
5.0,2.3999999999999955,36.965298471844946,36.46300608078774,34.080081918391095,28.256827076032252,0.0
5.0,2.4249999999999954,36.96345273724317,36.44977387808782,34.04597910776726,28.214999878573877,0.0
5.0,2.4499999999999953,36.96154323990302,36.436438934449214,34.01197320602965,28.173420948182187,0.0
5.0,2.474999999999995,36.95956918410287,36.423003295383296,33.97806409385237,28.132086437288624,0.0
5.0,2.499999999999995,36.957529798909135,36.40946896982252,33.944251626394696,28.090992595694203,0.0
5.0,2.524999999999995,36.955424338165095,36.395837930337215,33.910535634959245,28.050135767139935,0.0
5.0,2.549999999999995,36.95325208044649,36.38211211338904,33.876915928549096,28.00951238603159,0.0
5.0,2.574999999999995,36.95101232898632,36.368293419617274,33.84339229533044,27.96911897431041,0.0
5.0,2.5999999999999948,36.94870441157057,36.35438371415481,33.80996450400686,27.92895213846176,0.0
5.0,2.6249999999999947,36.946327680406974,36.340384826970634,33.776632305110745,27.889008566654432,0.0
5.0,2.6499999999999946,36.94388151196872,36.326298553236036,33.743395432217206,27.84928502600355,0.0
5.0,2.6749999999999945,36.94136530681476,36.31212665371182,33.710253603085235,27.809778359950606,0.0
5.0,2.6999999999999944,36.93877848938862,36.29787085515417,33.67720652073084,27.770485485754545,0.0
5.0,2.7249999999999943,36.93612050779727,36.283532850736876,33.64425387443626,27.731403392088094,0.0
