时间（s）,层号,距人体侧位置（m）,温度（℃）
0.0,1,0.0,37.0
0.0,1,2.3333333333333332e-05,37.0
0.0,1,4.6666666666666665e-05,37.0
0.0,1,7e-05,37.0
0.0,1,9.333333333333333e-05,37.0
0.0,1,0.00011666666666666667,37.0
0.0,1,0.00014,37.0
0.0,1,0.00016333333333333334,37.0
0.0,1,0.00018666666666666666,37.0
0.0,1,0.00020999999999999998,37.0
0.0,1,0.00023333333333333333,37.0
0.0,1,0.00025666666666666665,37.0
0.0,1,0.00028,37.0
0.0,1,0.0003033333333333333,37.0
0.0,1,0.0003266666666666667,37.0
0.0,1,0.00035,37.0
0.0,1,0.0003733333333333333,37.0
0.0,1,0.00039666666666666664,37.0
0.0,1,0.00041999999999999996,37.0
0.0,1,0.00044333333333333334,37.0
0.0,1,0.00046666666666666666,37.0
0.0,1,0.00049,37.0
0.0,1,0.0005133333333333333,37.0
0.0,1,0.0005366666666666666,37.0
0.0,1,0.00056,37.0
0.0,1,0.0005833333333333333,37.0
0.0,1,0.0006066666666666666,37.0
0.0,1,0.00063,37.0
0.0,1,0.0006533333333333333,37.0
0.0,1,0.0006766666666666667,37.0
0.0,1,0.0007,37.0
0.0,2,0.0007,37.0
0.0,2,0.0007133333333333333,37.0
0.0,2,0.0007266666666666667,37.0
0.0,2,0.00074,37.00000000000001
0.0,2,0.0007533333333333333,37.0
0.0,2,0.0007666666666666667,37.0
0.0,2,0.00078,37.0
0.0,2,0.0007933333333333333,37.0
0.0,2,0.0008066666666666667,37.0
0.0,2,0.00082,37.0
0.0,2,0.0008333333333333333,37.0
0.0,2,0.0008466666666666667,37.0
0.0,2,0.00086,37.0
0.0,2,0.0008733333333333334,37.0
0.0,2,0.0008866666666666667,37.0
0.0,2,0.0009,37.0
0.0,2,0.0009133333333333333,37.0
0.0,2,0.0009266666666666667,37.0
0.0,2,0.00094,37.0
0.0,2,0.0009533333333333334,37.0
0.0,2,0.0009666666666666667,37.0
0.0,2,0.00098,37.0
0.0,2,0.0009933333333333333,37.0
0.0,2,0.0010066666666666666,37.0
0.0,2,0.00102,37.0
0.0,2,0.0010333333333333334,37.0
0.0,2,0.0010466666666666667,37.0
0.0,2,0.00106,37.0
0.0,2,0.0010733333333333333,37.0
0.0,2,0.0010866666666666668,37.0
0.0,2,0.0011,37.0
0.0,3,0.0011,37.0
0.0,3,0.00111,37.00050463257814
0.0,3,0.0011200000000000001,36.99949446474683
0.0,3,0.0011300000000000001,36.99999761581845
0.0,3,0.00114,37.00051639517375
0.0,3,0.00115,36.99948078102456
0.0,3,0.00116,36.99999492429905
0.0,3,0.00117,37.00054235518877
0.0,3,0.00118,36.99945251487852
0.0,3,0.00119,36.99999151493728
0.0,3,0.0012000000000000001,37.00058621073275
0.0,3,0.0012100000000000001,36.99940556153068
0.0,3,0.0012200000000000002,36.999986700379786
0.0,3,0.00123,37.000655256196545
0.0,3,0.00124,36.99933188143442
0.0,3,0.00125,36.99997911412652
0.0,3,0.00126,37.00076390957623
0.0,3,0.00127,36.999215455472914
0.0,3,0.00128,36.99996555690305
0.0,3,0.0012900000000000001,37.00094325242755
0.0,3,0.0013,36.99902111009294
0.0,3,0.00131,36.99993682752496
0.0,3,0.00132,37.001272426508606
0.0,3,0.00133,36.99865641262928
0.0,3,0.00134,36.99985643162015
0.0,3,0.00135,37.002024046866495
0.0,3,0.00136,36.99778463514357
0.0,3,0.0013700000000000001,36.999448372461586
0.0,3,0.0013800000000000002,37.00506604774299
0.0,3,0.0013900000000000002,36.99405031939093
0.0,3,0.0014,36.95346372732853
10.0,1,0.0,33.6137605900828
10.0,1,2.3333333333333332e-05,33.606519347948264
10.0,1,4.6666666666666665e-05,33.59407384763108
10.0,1,7e-05,33.57641494717974
10.0,1,9.333333333333333e-05,33.553544423766276
10.0,1,0.00011666666666666667,33.52543863398485
10.0,1,0.00014,33.49208443077969
10.0,1,0.00016333333333333334,33.453480324190004
10.0,1,0.00018666666666666666,33.409598538082165
10.0,1,0.00020999999999999998,33.3604220368355
10.0,1,0.00023333333333333333,33.305946641499126
10.0,1,0.00025666666666666665,33.24614031294958
10.0,1,0.00028,33.18098231442332
10.0,1,0.0003033333333333333,33.110466603722
10.0,1,0.0003266666666666667,33.034556744849255
10.0,1,0.00035,32.95322851861491
10.0,1,0.0003733333333333333,32.866475213721195
10.0,1,0.00039666666666666664,32.77425574807712
10.0,1,0.00041999999999999996,32.67654257053911
10.0,1,0.00044333333333333334,32.573330125395564
10.0,1,0.00046666666666666666,32.464572095521696
10.0,1,0.00049,32.350237399960086
10.0,1,0.0005133333333333333,32.23032478510948
10.0,1,0.0005366666666666666,32.10478128521184
10.0,1,0.00056,31.973570742253106
10.0,1,0.0005833333333333333,31.83670300926174
10.0,1,0.0006066666666666666,31.694115311254944
10.0,1,0.00063,31.545757770597575
10.0,1,0.0006533333333333333,31.391672823024596
10.0,1,0.0006766666666666667,31.231795355522646
10.0,1,0.0007,31.06601974823949
10.0,2,0.0007,31.066019748239494
10.0,2,0.0007133333333333333,30.95637928541914
10.0,2,0.0007266666666666667,30.843819290430826
10.0,2,0.00074,30.728368010203575
10.0,2,0.0007533333333333333,30.610034118164645
10.0,2,0.0007666666666666667,30.488772572596478
10.0,2,0.00078,30.364584638010687
10.0,2,0.0007933333333333333,30.237478969761217
10.0,2,0.0008066666666666667,30.107426650620912
10.0,2,0.00082,29.974422978729162
10.0,2,0.0008333333333333333,29.83847345359984
10.0,2,0.0008466666666666667,29.699555073949696
10.0,2,0.00086,29.55766178694458
10.0,2,0.0008733333333333334,29.412798099007922
10.0,2,0.0008866666666666667,29.264943832264056
10.0,2,0.0009,29.114092655833385
10.0,2,0.0009133333333333333,28.96024949882086
10.0,2,0.0009266666666666667,28.803395540283592
10.0,2,0.00094,28.643524437938154
10.0,2,0.0009533333333333334,28.48064276703011
10.0,2,0.0009666666666666667,28.314731935253175
10.0,2,0.00098,28.14578536940801
10.0,2,0.0009933333333333333,27.97381289974047
10.0,2,0.0010066666666666666,27.79879477090494
10.0,2,0.00102,27.620723080104078
10.0,2,0.0010333333333333334,27.439614239662422
10.0,2,0.0010466666666666667,27.255445076296592
10.0,2,0.00106,27.068201427866168
10.0,2,0.0010733333333333333,26.877917181420944
10.0,2,0.0010866666666666668,26.68456909241821
10.0,2,0.0011,26.48811423009611
10.0,3,0.0011,26.48811423009611
10.0,3,0.00111,26.318631811066727
10.0,3,0.0011200000000000001,26.146687086635225
10.0,3,0.0011300000000000001,25.972312668234657
10.0,3,0.00114,25.795524434681504
10.0,3,0.00115,25.61629371771072
10.0,3,0.00116,25.43463039972138
10.0,3,0.00117,25.2505499671852
10.0,3,0.00118,25.06403801473244
10.0,3,0.00119,24.87509958938516
10.0,3,0.0012000000000000001,24.68374710845488
10.0,3,0.0012100000000000001,24.489971927983568
10.0,3,0.0012200000000000002,24.293778267069367
10.0,3,0.00123,24.09517719422237
10.0,3,0.00124,23.894163394826517
10.0,3,0.00125,23.6907412847841
10.0,3,0.00126,23.484921537040353
10.0,3,0.00127,23.276701206584267
10.0,3,0.00128,23.066085316370337
10.0,3,0.0012900000000000001,22.85308469545693
10.0,3,0.0013,22.637698295002323
10.0,3,0.00131,22.419931944469468
10.0,3,0.00132,22.199796971529068
10.0,3,0.00133,21.977293943104108
10.0,3,0.00134,21.752429597140786
10.0,3,0.00135,21.52521598595243
10.0,3,0.00136,21.29565509747437
10.0,3,0.0013700000000000001,21.06375462710961
10.0,3,0.0013800000000000002,20.829527511985763
10.0,3,0.0013900000000000002,20.592977006535616
10.0,3,0.0014,20.354111781017913
20.0,1,0.0,27.471136118667026
20.0,1,2.3333333333333332e-05,27.456410107435907
20.0,1,4.6666666666666665e-05,27.438383998166394
20.0,1,7e-05,27.417058032985576
20.0,1,9.333333333333333e-05,27.39244007014743
20.0,1,0.00011666666666666667,27.3645324142101
20.0,1,0.00014,27.3333448121698
20.0,1,0.00016333333333333334,27.29889485606776
20.0,1,0.00018666666666666666,27.26119421737435
20.0,1,0.00020999999999999998,27.22026203027619
20.0,1,0.00023333333333333333,27.176125625721667
20.0,1,0.00025666666666666665,27.12880574675426
20.0,1,0.00028,27.078330690916054
20.0,1,0.0003033333333333333,27.024737491753253
20.0,1,0.0003266666666666667,26.968055535473336
20.0,1,0.00035,26.908321935754888
20.0,1,0.0003733333333333333,26.845583384726197
20.0,1,0.00039666666666666664,26.77987728924468
20.0,1,0.00041999999999999996,26.711249037559192
20.0,1,0.00044333333333333334,26.63975497047835
20.0,1,0.00046666666666666666,26.56543954283135
20.0,1,0.00049,26.48835548119061
20.0,1,0.0005133333333333333,26.40856892594986
20.0,1,0.0005366666666666666,26.326129734602944
20.0,1,0.00056,26.241096113226135
20.0,1,0.0005833333333333333,26.1535449837409
20.0,1,0.0006066666666666666,26.063528778931005
20.0,1,0.00063,25.971106160901222
20.0,1,0.0006533333333333333,25.876370504398047
20.0,1,0.0006766666666666667,25.779377207257056
20.0,1,0.0007,25.680167656408727
20.0,2,0.0007,25.680167656408727
20.0,2,0.0007133333333333333,25.613206690305518
20.0,2,0.0007266666666666667,25.539719456489337
20.0,2,0.00074,25.459919256081793
20.0,2,0.0007533333333333333,25.373974715892974
20.0,2,0.0007666666666666667,25.281926655579923
20.0,2,0.00078,25.18390964161751
20.0,2,0.0007933333333333333,25.08007081338682
20.0,2,0.0008066666666666667,24.970464519855167
20.0,2,0.00082,24.85518597095305
20.0,2,0.0008333333333333333,24.734347749235393
20.0,2,0.0008466666666666667,24.60799101665872
20.0,2,0.00086,24.476180653498517
20.0,2,0.0008733333333333334,24.338999227271707
20.0,2,0.0008866666666666667,24.196468172642458
20.0,2,0.0009,24.04862540868175
20.0,2,0.0009133333333333333,23.895527634912114
20.0,2,0.0009266666666666667,23.73717451838017
20.0,2,0.00094,23.573578938968545
20.0,2,0.0009533333333333334,23.404775508506898
20.0,2,0.0009666666666666667,23.230741143583675
20.0,2,0.00098,23.051464788603766
20.0,2,0.0009933333333333333,22.86696355169226
20.0,2,0.0010066666666666666,22.677190521217856
20.0,2,0.00102,22.48211053461973
20.0,2,0.0010333333333333334,22.281731436040307
20.0,2,0.0010466666666666667,22.07598082064419
20.0,2,0.00106,21.864793688985863
20.0,2,0.0010733333333333333,21.6481928183104
20.0,2,0.0010866666666666668,21.42609191599606
20.0,2,0.0011,21.19836209498603
20.0,3,0.0011,21.19836209498603
20.0,3,0.00111,21.00203202112273
20.0,3,0.0011200000000000001,20.80498440353314
20.0,3,0.0011300000000000001,20.60722313298331
20.0,3,0.00114,20.408747302847296
20.0,3,0.00115,20.20954318648852
20.0,3,0.00116,20.009608284803345
20.0,3,0.00117,19.808941818498496
20.0,3,0.00118,19.607534482452458
20.0,3,0.00119,19.40538273101815
20.0,3,0.0012000000000000001,19.20248530070479
20.0,3,0.0012100000000000001,18.9988350043015
20.0,3,0.0012200000000000002,18.794428554313942
20.0,3,0.00123,18.58926483705335
20.0,3,0.00124,18.3833382066649
20.0,3,0.00125,18.17664604662546
20.0,3,0.00126,17.969187774891022
20.0,3,0.00127,17.76095910539111
20.0,3,0.00128,17.551958297047218
20.0,3,0.0012900000000000001,17.342185535047236
20.0,3,0.0013,17.13163782291324
20.0,3,0.00131,16.920314410527652
20.0,3,0.00132,16.708216398892002
20.0,3,0.00133,16.495342041897082
20.0,3,0.00134,16.281691644661926
20.0,3,0.00135,16.067267317705415
20.0,3,0.00136,15.852068531483008
20.0,3,0.0013700000000000001,15.636096677757678
20.0,3,0.0013800000000000002,15.419354935393113
20.0,3,0.0013900000000000002,15.201843954986657
20.0,3,0.0014,14.983566224388293
30.0,1,0.0,24.926204350138317
30.0,1,2.3333333333333332e-05,24.908983149255885
30.0,1,4.6666666666666665e-05,24.89046019757688
30.0,1,7e-05,24.870634645790272
30.0,1,9.333333333333333e-05,24.84950855628574
30.0,1,0.00011666666666666667,24.827080114215644
30.0,1,0.00014,24.80335033049875
30.0,1,0.00016333333333333334,24.77832325278749
30.0,1,0.00018666666666666666,24.751998872492123
30.0,1,0.00020999999999999998,24.724380030514382
30.0,1,0.00023333333333333333,24.695472802199976
30.0,1,0.00025666666666666665,24.665278882058253
30.0,1,0.00028,24.63380288405555
30.0,1,0.0003033333333333333,24.60105296058786
30.0,1,0.0003266666666666667,24.567032366532544
30.0,1,0.00035,24.53174739900668
30.0,1,0.0003733333333333333,24.495208366253106
30.0,1,0.00039666666666666664,24.457419878549896
30.0,1,0.00041999999999999996,24.41838977039432
30.0,1,0.00044333333333333334,24.378130655584286
30.0,1,0.00046666666666666666,24.336648179346167
30.0,1,0.00049,24.293951443933288
30.0,1,0.0005133333333333333,24.25005569821578
30.0,1,0.0005366666666666666,24.204967071439242
30.0,1,0.00056,24.15869532534899
30.0,1,0.0005833333333333333,24.111259259634238
30.0,1,0.0006066666666666666,24.06266450409273
30.0,1,0.00063,24.012919432767536
30.0,1,0.0006533333333333333,23.96204993301264
30.0,1,0.0006766666666666667,23.910062017379317
30.0,1,0.0007,23.856954275266446
30.0,2,0.0007,23.856954275266443
30.0,2,0.0007133333333333333,23.8197261738657
30.0,2,0.0007266666666666667,23.774882946729356
30.0,2,0.00074,23.722584617122084
30.0,2,0.0007533333333333333,23.662944428185444
30.0,2,0.0007666666666666667,23.59593442258297
30.0,2,0.00078,23.521641756042616
30.0,2,0.0007933333333333333,23.440176501808285
30.0,2,0.0008066666666666667,23.351550340943895
30.0,2,0.00082,23.25583019183692
30.0,2,0.0008333333333333333,23.153111608159314
30.0,2,0.0008466666666666667,23.043416063383535
30.0,2,0.00086,22.926799664513005
30.0,2,0.0008733333333333334,22.803346483795092
30.0,2,0.0008866666666666667,22.673077441787193
30.0,2,0.0009,22.536038707755843
30.0,2,0.0009133333333333333,22.392304668272608
30.0,2,0.0009266666666666667,22.241890537272425
30.0,2,0.00094,22.084832166259133
30.0,2,0.0009533333333333334,21.921196202794913
30.0,2,0.0009666666666666667,21.750988849709554
30.0,2,0.00098,21.574234921339524
30.0,2,0.0009933333333333333,21.39099672083924
30.0,2,0.0010066666666666666,21.2012685026402
30.0,2,0.00102,21.00506218897075
30.0,2,0.0010333333333333334,20.802443322968816
30.0,2,0.0010466666666666667,20.59339023219264
30.0,2,0.00106,20.377892807691758
30.0,2,0.0010733333333333333,20.15604385002647
30.0,2,0.0010866666666666668,19.927814559690894
30.0,2,0.0011,19.693128917734363
30.0,3,0.0011,19.693128917734363
30.0,3,0.00111,19.49074991398979
30.0,3,0.0011200000000000001,19.28801012337375
30.0,3,0.0011300000000000001,19.084914571512712
30.0,3,0.00114,18.88146582887262
30.0,3,0.00115,18.677659931639344
30.0,3,0.00116,18.473498564953328
30.0,3,0.00117,18.268984231345943
30.0,3,0.00118,18.064115045416784
30.0,3,0.00119,17.858891968104647
30.0,3,0.0012000000000000001,17.653317034455704
30.0,3,0.0012100000000000001,17.447389184220828
30.0,3,0.0012200000000000002,17.24110923533534
30.0,3,0.00123,17.034479001601863
30.0,3,0.00124,16.82749788572711
30.0,3,0.00125,16.62016670771552
30.0,3,0.00126,16.412487195143793
30.0,3,0.00127,16.204459068633053
30.0,3,0.00128,15.996083206509772
30.0,3,0.0012900000000000001,15.787361327526336
30.0,3,0.0013,15.578293397710985
30.0,3,0.00131,15.36888038024515
30.0,3,0.00132,15.15912403292084
30.0,3,0.00133,14.949024524039961
30.0,3,0.00134,14.738582914882755
30.0,3,0.00135,14.52780103400209
30.0,3,0.00136,14.316679222263163
30.0,3,0.0013700000000000001,14.105218645313773
30.0,3,0.0013800000000000002,13.893421225263642
30.0,3,0.0013900000000000002,13.681287452401685
30.0,3,0.0014,13.468818598999267
40.0,1,0.0,23.62140798047232
40.0,1,2.3333333333333332e-05,23.602604240156673
40.0,1,4.6666666666666665e-05,23.58291609654451
40.0,1,7e-05,23.56234256032006
40.0,1,9.333333333333333e-05,23.540884576739106
40.0,1,0.00011666666666666667,23.51853972794116
40.0,1,0.00014,23.495307465294356
40.0,1,0.00016333333333333334,23.471189275548443
40.0,1,0.00018666666666666666,23.44618314714501
40.0,1,0.00020999999999999998,23.42028896203254
40.0,1,0.00023333333333333333,23.393508798827423
40.0,1,0.00025666666666666665,23.365840992698725
40.0,1,0.00028,23.337285836300744
40.0,1,0.0003033333333333333,23.30784606677438
40.0,1,0.0003266666666666667,23.27752028640818
40.0,1,0.00035,23.246309163995292
40.0,1,0.0003733333333333333,23.214216196463695
40.0,1,0.00039666666666666664,23.18124013774547
40.0,1,0.00041999999999999996,23.14738196904168
40.0,1,0.00044333333333333334,23.1126461206106
40.0,1,0.00046666666666666666,23.077031312756365
40.0,1,0.00049,23.040538703348915
40.0,1,0.0005133333333333333,23.00317399969715
40.0,1,0.0005366666666666666,22.964935559101804
40.0,1,0.00056,22.925824358215603
40.0,1,0.0005833333333333333,22.885848231202186
40.0,1,0.0006066666666666666,22.845004559973034
40.0,1,0.00063,22.803292718622057
40.0,1,0.0006533333333333333,22.76072562648763
40.0,1,0.0006766666666666667,22.717300597881373
40.0,1,0.0007,22.673009090186607
40.0,2,0.0007,22.673009090186607
40.0,2,0.0007133333333333333,22.641639592437667
40.0,2,0.0007266666666666667,22.6029073889815
40.0,2,0.00074,22.556923404416928
40.0,2,0.0007533333333333333,22.50375351023853
40.0,2,0.0007666666666666667,22.443329193233247
40.0,2,0.00078,22.37569595597404
40.0,2,0.0007933333333333333,22.300922234221026
40.0,2,0.0008066666666666667,22.218983517911898
40.0,2,0.00082,22.12991233732097
40.0,2,0.0008333333333333333,22.033770162227814
40.0,2,0.0008466666666666667,21.930548840720036
40.0,2,0.00086,21.82027783246564
40.0,2,0.0008733333333333334,21.703015281694306
40.0,2,0.0008866666666666667,21.57875996604272
40.0,2,0.0009,21.44753948738903
40.0,2,0.0009133333333333333,21.309410679771087
40.0,2,0.0009266666666666667,21.164374354225902
40.0,2,0.00094,21.012455834509012
40.0,2,0.0009533333333333334,20.85371245524458
40.0,2,0.0009666666666666667,20.688143545549316
40.0,2,0.00098,20.51577103810968
40.0,2,0.0009933333333333333,20.336655756723268
40.0,2,0.0010066666666666666,20.15079204482869
40.0,2,0.00102,19.958195897605485
40.0,2,0.0010333333333333334,19.75893870586348
40.0,2,0.0010466666666666667,19.553005016749154
40.0,2,0.00106,19.340394632268747
40.0,2,0.0010733333333333333,19.121213154204302
40.0,2,0.0010866666666666668,18.895443013792832
40.0,2,0.0011,18.663020727829025
40.0,3,0.0011,18.663020727829025
40.0,3,0.00111,18.462539069052156
40.0,3,0.0011200000000000001,18.261756630859455
40.0,3,0.0011300000000000001,18.06067810873299
40.0,3,0.00114,17.859306144116697
40.0,3,0.00115,17.65763791622297
40.0,3,0.00116,17.455675313995137
40.0,3,0.00117,17.25342089969139
40.0,3,0.00118,17.05087356043502
40.0,3,0.00119,16.84803454771096
40.0,3,0.0012000000000000001,16.644905995956783
40.0,3,0.0012100000000000001,16.441487439470077
40.0,3,0.0012200000000000002,16.23777996431931
40.0,3,0.00123,16.03378547040519
40.0,3,0.00124,15.829503825396918
40.0,3,0.00125,15.624936060768531
40.0,3,0.00126,15.420083945339949
40.0,3,0.00127,15.214947550761227
40.0,3,0.00128,15.009527893609063
40.0,3,0.0012900000000000001,14.80382666993475
40.0,3,0.0013,14.597844089401306
40.0,3,0.00131,14.391581171268713
40.0,3,0.00132,14.185039574990306
40.0,3,0.00133,13.97821960913125
40.0,3,0.00134,13.771122304237986
40.0,3,0.00135,13.563749307762928
40.0,3,0.00136,13.356101000966172
40.0,3,0.0013700000000000001,13.148178429948278
40.0,3,0.0013800000000000002,12.939983248599948
40.0,3,0.0013900000000000002,12.731515891272938
40.0,3,0.0014,12.522777421495926
50.0,1,0.0,22.59825376312175
50.0,1,2.3333333333333332e-05,22.578096066011607
50.0,1,4.6666666666666665e-05,22.55715482979104
50.0,1,7e-05,22.535428999221665
50.0,1,9.333333333333333e-05,22.512919219624848
50.0,1,0.00011666666666666667,22.48962282909015
