扫描速率（K/min）,潜热（kJ/kg）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,功能层平均温度（℃）,界面23温度（℃）,外表面温度（℃）,固化进度
2.0,611.5637399999999,0.0,37.0,37.0,37.0,37.0,36.953463727328526,0.0
2.0,611.5637399999999,0.25,36.99999999319578,36.99985134450956,36.99105692378763,36.95538289535272,33.99706682339108,0.0
2.0,611.5637399999999,0.5,36.99999913304649,36.99739741584366,36.94119168174233,36.74297697821749,32.8034348971451,0.0
2.0,611.5637399999999,0.75,36.99998199389824,36.98522280892415,36.83956003964557,36.429540196078264,31.90288984448336,0.0
2.0,611.5637399999999,1.0,36.99984183307843,36.95556576280667,36.694474213605815,36.072270766443324,31.15529320882413,0.0
2.0,611.5637399999999,1.25,36.99920853051402,36.90481191106954,36.517505244924074,35.69947315311527,30.506481408161314,0.0
2.0,611.5637399999999,1.5,36.997321564384784,36.8329672803925,36.31828965474715,35.32472424044618,29.927848969812587,0.0
2.0,611.5637399999999,1.75,36.99308192272059,36.741943569413095,36.103970255089926,34.95460354454628,29.40207729638197,0.0
2.0,611.5637399999999,2.0,36.98523281191091,36.634338718427536,35.87966361899612,34.59225625661337,28.91783568651239,0.0
2.0,611.5637399999999,2.25,36.972549744715366,36.51279482057308,35.64900614501017,34.23907872177952,28.467289505757172,0.0
2.0,611.5637399999999,2.5,36.95397248166038,36.379715593002224,35.414584467066014,33.895554307958676,28.04477996309234,0.0
2.0,611.5637399999999,2.75,36.9286692754062,36.23717144632641,35.178243253837984,33.56168499016209,27.646071307998422,0.0
2.0,611.5637399999999,3.0,36.896050060874046,36.086893301372506,34.94129939741165,33.23722097996618,27.267897567315863,0.0
2.0,611.5637399999999,3.25,36.85574918589346,35.93030397246977,34.70469079511041,32.92178549005604,26.907677159666978,0.0
2.0,611.5637399999999,3.5,36.80759370764245,35.768562017470146,34.46908060868181,32.6149434271422,26.563326139818525,0.0
2.0,611.5637399999999,3.75,36.75156746403634,35.602606385874324,34.23493126475031,32.31623943738026,26.233131765769553,0.0
2.0,611.5637399999999,4.0,36.68777654971051,35.433196921908525,34.00255769229017,32.0252189225166,25.91566430865185,0.0
2.0,611.5637399999999,4.25,36.616418823939235,35.2609490638701,33.77216610342501,31.741439476123897,25.60971391544788,0.0
2.0,611.5637399999999,4.5,36.53775831990913,35.08636261960748,33.54388254434452,31.464476881286508,25.314244382880943,0.0
2.0,611.5637399999999,4.75,36.45210449374454,34.90984515849697,33.31777409262326,31.193928001730935,25.02835865936675,0.0
2.0,611.5637399999999,5.0,36.35979581936659,34.73173078702541,33.093864693346696,30.929411893534652,24.751272677088245,0.0
2.0,611.5637399999999,5.25,36.26118708227638,34.552295095783634,32.87214703950197,30.670569899715108,24.48229522419683,0.0
2.0,611.5637399999999,5.5,36.15663971725514,34.37176699642748,32.65259150514878,30.417065169319077,24.2208122740838,0.0
2.0,611.5637399999999,5.75,36.04651459421384,34.190338066150424,32.43515286609874,30.168581858936914,23.966274652169023,0.0
2.0,611.5637399999999,6.0,35.931166740606265,34.00816991247012,32.21977535027703,29.924824168431446,23.71818823261102,0.0
2.0,611.5637399999999,6.25,35.81094157617609,33.825399975104965,32.006396422052696,29.685515300799796,23.47610607251432,0.0
2.0,611.5637399999999,6.5,35.68617231618185,33.642146098933104,31.794949604503785,29.450396399666786,23.23962204295817,0.0
