扫描速率（K/min）,新增层数,15℃有效时间（s）,10℃有效时间（s）,15℃限制因素,10℃限制因素
0.5,0,784.91566616,784.91566616,负重,负重
0.5,1,781.94188616,781.94188616,负重,负重
0.5,2,778.9681061599999,778.9681061599999,负重,负重
0.5,3,775.99432616,775.99432616,负重,负重
1.0,0,784.91566616,784.91566616,负重,负重
1.0,1,781.94188616,781.94188616,负重,负重
1.0,2,778.9681061599999,778.9681061599999,负重,负重
1.0,3,775.99432616,775.99432616,负重,负重
1.25,0,767.9704915838021,784.91566616,热安全,负重
1.25,1,781.94188616,781.94188616,负重,负重
1.25,2,778.9681061599999,778.9681061599999,负重,负重
1.25,3,775.99432616,775.99432616,负重,负重
1.5,0,658.1578533704828,695.4832785106404,热安全,热安全
1.5,1,722.5078013158143,771.6938810695058,热安全,热安全
1.5,2,778.9681061599999,778.9681061599999,负重,负重
1.5,3,775.99432616,775.99432616,负重,负重
1.75,0,579.7249482935058,617.0387338010454,热安全,热安全
1.75,1,640.0948138973057,689.2955620896345,热安全,热安全
1.75,2,703.1642096154371,764.4258379459571,热安全,热安全
1.75,3,769.0848163519681,775.99432616,热安全,负重
2.0,0,520.9025878318307,558.2067266858874,热安全,热安全
2.0,1,578.2863772998312,627.4995765898959,热安全,热安全
2.0,2,638.3337132578966,699.6629185770595,热安全,热安全
2.0,3,701.1953736093442,774.807642959801,热安全,热安全
5.0,0,273.9084019945055,311.15808969030354,热安全,热安全
5.0,1,318.75572471466575,368.0437211796249,热安全,热安全
5.0,2,366.0871958290051,427.8346382537003,热安全,热安全
5.0,3,416.0379012473915,490.6443484200815,热安全,热安全
10.0,0,191.6423419379491,228.86375804984027,热安全,热安全
10.0,1,232.32649271748767,281.65655306582886,热安全,热安全
10.0,2,275.4289712918863,337.4216250341943,热安全,热安全
10.0,3,321.0596108035716,396.27119831325496,热安全,热安全
