扫描速率（K/min）,新增层数,15℃时间（s）,10℃时间（s）,负重时间（s）
1.25,0,767.9704915838021,805.3104824419861,784.91566616
1.25,1,837.8904643823388,887.058646354974,781.94188616
1.25,2,910.6194889758859,971.7062180612423,778.9681061599999
1.25,3,986.3050576579776,1059.3655885458934,775.99432616
1.5,0,658.1578533704828,695.4832785106404,784.91566616
1.5,1,722.5078013158143,771.6938810695058,781.94188616
1.5,2,789.6045157872682,850.7867430847833,778.9681061599999
1.5,3,859.597877137504,932.873831856898,775.99432616
1.75,0,579.7249482935058,617.0387338010454,784.91566616
1.75,1,640.0948138973057,689.2955620896345,781.94188616
1.75,2,703.1642096154371,764.4258379459571,778.9681061599999
1.75,3,769.0848163519681,842.5417325013483,775.99432616
2.0,0,520.9025878318307,558.2067266858874,784.91566616
2.0,1,578.2863772998312,627.4995765898959,781.94188616
2.0,2,638.3337132578966,699.6629185770595,778.9681061599999
2.0,3,701.1953736093442,774.807642959801,775.99432616
