阈值口径,区间端点,扫描速率（K/min）,较薄方案层数,较薄方案热安全时间（s）,较薄方案有效时间（s）,较厚方案层数,较厚方案热安全时间（s）,较厚方案有效时间（s）,半步长最优层数
10℃,下界,1.2890625,0,785.3373393153029,784.91566616,1,866.0754678851737,781.94188616,0
10℃,上界,1.296875,0,781.488084577962,781.488084577962,1,862.0319815277517,781.94188616,1
10℃,下界,1.4765625,1,780.8431560532514,780.8431560532514,2,860.3696007707489,778.9681061599999,1
10℃,上界,1.484375,1,777.7591227122479,777.7591227122479,2,857.1371825616035,778.9681061599999,2
10℃,下界,1.7109375,2,776.2434662482927,776.2434662482927,3,854.8973854454947,775.99432616,2
10℃,上界,1.71875,2,773.8345624461949,773.8345624461949,3,852.3777832245252,775.99432616,3
15℃,下界,1.21875,0,784.8637240456441,784.8637240456441,1,855.6333806091343,781.94188616,0
15℃,上界,1.2265625,0,780.55922641994,780.55922641994,1,851.1107811946541,781.94188616,1
15℃,下界,1.359375,1,782.1801489053965,781.94188616,2,852.1794421480628,778.9681061599999,1
15℃,上界,1.3671875,1,778.5425785529592,778.5425785529592,2,848.3640262279856,778.9681061599999,2
15℃,下界,1.53125,2,777.2377951170216,777.2377951170216,3,846.6405091710488,775.99432616,2
15℃,上界,1.5390625,2,774.2290885314694,774.2290885314694,3,843.4901088644935,775.99432616,3
