扫描速率（K/min）,潜热（kJ/kg）,新增层数,外层厚度（mm）,总厚度（mm）,服装质量（kg）,材料费用（元）,15℃时间（s）,10℃时间（s）,负重时间（s）,15℃有效时间（s）,10℃有效时间（s）,15℃限制因素,10℃限制因素
1.0,1223.1274799999999,0,0.3,1.4,0.754216692,301.67346,932.6956022794395,970.0543180755536,784.91566616,784.91566616,784.91566616,负重,负重
1.0,1223.1274799999999,1,0.6,1.7000000000000002,0.9029056919999999,346.28015999999997,1010.9706278267216,1060.1164798353705,781.94188616,781.94188616,781.94188616,负重,负重
1.0,1223.1274799999999,2,0.9,2.0,1.0515946919999999,390.88685999999996,1092.1366719869666,1153.1049679634357,778.9681061599999,778.9681061599999,778.9681061599999,负重,负重
1.0,1223.1274799999999,3,1.2,2.3,1.200283692,435.49356,1176.3445518662315,1249.1407228519997,775.99432616,775.99432616,775.99432616,负重,负重
1.25,978.501984,0,0.3,1.4,0.754216692,301.67346,767.9704915838021,805.3104824419861,784.91566616,767.9704915838021,784.91566616,热安全,负重
1.25,978.501984,1,0.6,1.7000000000000002,0.9029056919999999,346.28015999999997,837.8904643823388,887.058646354974,781.94188616,781.94188616,781.94188616,负重,负重
1.25,978.501984,2,0.9,2.0,1.0515946919999999,390.88685999999996,910.6194889758859,971.7062180612423,778.9681061599999,778.9681061599999,778.9681061599999,负重,负重
1.25,978.501984,3,1.2,2.3,1.200283692,435.49356,986.3050576579776,1059.3655885458934,775.99432616,775.99432616,775.99432616,负重,负重
1.5,815.41832,0,0.3,1.4,0.754216692,301.67346,658.1578533704828,695.4832785106404,784.91566616,658.1578533704828,695.4832785106404,热安全,热安全
1.5,815.41832,1,0.6,1.7000000000000002,0.9029056919999999,346.28015999999997,722.5078013158143,771.6938810695058,781.94188616,722.5078013158143,771.6938810695058,热安全,热安全
1.5,815.41832,2,0.9,2.0,1.0515946919999999,390.88685999999996,789.6045157872682,850.7867430847833,778.9681061599999,778.9681061599999,778.9681061599999,负重,负重
1.5,815.41832,3,1.2,2.3,1.200283692,435.49356,859.597877137504,932.873831856898,775.99432616,775.99432616,775.99432616,负重,负重
1.75,698.9299885714286,0,0.3,1.4,0.754216692,301.67346,579.7249482935058,617.0387338010454,784.91566616,579.7249482935058,617.0387338010454,热安全,热安全
1.75,698.9299885714286,1,0.6,1.7000000000000002,0.9029056919999999,346.28015999999997,640.0948138973057,689.2955620896345,781.94188616,640.0948138973057,689.2955620896345,热安全,热安全
1.75,698.9299885714286,2,0.9,2.0,1.0515946919999999,390.88685999999996,703.1642096154371,764.4258379459571,778.9681061599999,703.1642096154371,764.4258379459571,热安全,热安全
1.75,698.9299885714286,3,1.2,2.3,1.200283692,435.49356,769.0848163519681,842.5417325013483,775.99432616,769.0848163519681,775.99432616,热安全,负重
2.0,611.5637399999999,0,0.3,1.4,0.754216692,301.67346,520.9025878318307,558.2067266858874,784.91566616,520.9025878318307,558.2067266858874,热安全,热安全
2.0,611.5637399999999,1,0.6,1.7000000000000002,0.9029056919999999,346.28015999999997,578.2863772998312,627.4995765898959,781.94188616,578.2863772998312,627.4995765898959,热安全,热安全
2.0,611.5637399999999,2,0.9,2.0,1.0515946919999999,390.88685999999996,638.3337132578966,699.6629185770595,778.9681061599999,638.3337132578966,699.6629185770595,热安全,热安全
2.0,611.5637399999999,3,1.2,2.3,1.200283692,435.49356,701.1953736093442,774.807642959801,775.99432616,701.1953736093442,774.807642959801,热安全,热安全
