扫描速率（K/min）,阈值口径,最优新增层数,外层厚度（mm）,最大有效时间（s）,热安全时间（s）,负重时间（s）,活动限制
0.5,15℃,0,0.3,784.91566616,1756.3886248903862,784.91566616,负重
0.5,10℃,0,0.3,784.91566616,1793.8119716240221,784.91566616,负重
1.0,15℃,0,0.3,784.91566616,932.6956022794395,784.91566616,负重
1.0,10℃,0,0.3,784.91566616,970.0543180755536,784.91566616,负重
1.25,15℃,1,0.6,781.94188616,837.8904643823388,781.94188616,负重
1.25,10℃,0,0.3,784.91566616,805.3104824419861,784.91566616,负重
1.5,15℃,2,0.9,778.9681061599999,789.6045157872682,778.9681061599999,负重
1.5,10℃,2,0.9,778.9681061599999,850.7867430847833,778.9681061599999,负重
1.75,15℃,3,1.2,769.0848163519681,769.0848163519681,775.99432616,热安全
1.75,10℃,3,1.2,775.99432616,842.5417325013483,775.99432616,负重
2.0,15℃,3,1.2,701.1953736093442,701.1953736093442,775.99432616,热安全
2.0,10℃,3,1.2,774.807642959801,774.807642959801,775.99432616,热安全
5.0,15℃,3,1.2,416.0379012473915,416.0379012473915,775.99432616,热安全
5.0,10℃,3,1.2,490.6443484200815,490.6443484200815,775.99432616,热安全
10.0,15℃,3,1.2,321.0596108035716,321.0596108035716,775.99432616,热安全
10.0,10℃,3,1.2,396.27119831325496,396.27119831325496,775.99432616,热安全
