面积口径,面积系数,衣料面积（m²）,扫描速率（K/min）,潜热（kJ/kg）,新增层数,外层厚度（mm）,总厚度（mm）,服装质量（kg）,材料费用（元）,热安全时间（s）,负重时间（s）,有效时间（s）,限制因素
1.25倍人体表面积,1.25,2.065125,2.0,611.5637399999999,0,0.3,1.4,0.9427708650000001,377.09182500000003,520.9025878318307,781.1445827,520.9025878318307,热安全
1.25倍人体表面积,1.25,2.065125,2.0,611.5637399999999,1,0.6,1.7000000000000002,1.128632115,432.85020000000003,578.2863772998312,777.4273576999999,578.2863772998312,热安全
1.25倍人体表面积,1.25,2.065125,2.0,611.5637399999999,2,0.9,2.0,1.314493365,488.60857500000003,638.3337132578966,773.7101327,638.3337132578966,热安全
1.25倍人体表面积,1.25,2.065125,2.0,611.5637399999999,3,1.2,2.3,1.5003546150000002,544.3669500000001,701.1953736093442,769.9929076999999,701.1953736093442,热安全
1.25倍人体表面积,1.25,2.065125,5.0,244.625496,0,0.3,1.4,0.9427708650000001,377.09182500000003,273.9084019945055,781.1445827,273.9084019945055,热安全
1.25倍人体表面积,1.25,2.065125,5.0,244.625496,1,0.6,1.7000000000000002,1.128632115,432.85020000000003,318.75572471466575,777.4273576999999,318.75572471466575,热安全
1.25倍人体表面积,1.25,2.065125,5.0,244.625496,2,0.9,2.0,1.314493365,488.60857500000003,366.0871958290051,773.7101327,366.0871958290051,热安全
1.25倍人体表面积,1.25,2.065125,5.0,244.625496,3,1.2,2.3,1.5003546150000002,544.3669500000001,416.0379012473915,769.9929076999999,416.0379012473915,热安全
1.25倍人体表面积,1.25,2.065125,10.0,122.312748,0,0.3,1.4,0.9427708650000001,377.09182500000003,191.6423419379491,781.1445827,191.6423419379491,热安全
1.25倍人体表面积,1.25,2.065125,10.0,122.312748,1,0.6,1.7000000000000002,1.128632115,432.85020000000003,232.32649271748767,777.4273576999999,232.32649271748767,热安全
1.25倍人体表面积,1.25,2.065125,10.0,122.312748,2,0.9,2.0,1.314493365,488.60857500000003,275.4289712918863,773.7101327,275.4289712918863,热安全
1.25倍人体表面积,1.25,2.065125,10.0,122.312748,3,1.2,2.3,1.5003546150000002,544.3669500000001,321.0596108035716,769.9929076999999,321.0596108035716,热安全
