扫描速率（K/min）,潜热（kJ/kg）,新增层数,外层厚度（mm）,总厚度（mm）,服装质量（kg）,材料费用（元）,热安全时间（s）,负重时间（s）,有效时间（s）,限制因素,最大条件数,最大热流残差（W/m2）
2.0,611.5637399999999,0,0.3,1.4,0.754216692,301.67346,520.9025878318307,784.91566616,520.9025878318307,热安全,1.066353958725648,9.663381206337363e-13
2.0,611.5637399999999,1,0.6,1.7000000000000002,0.9029056919999999,346.28015999999997,578.2863772998312,781.94188616,578.2863772998312,热安全,1.058099297634877,1.2105871860512707e-12
2.0,611.5637399999999,2,0.9,2.0,1.0515946919999999,390.88685999999996,638.3337132578966,778.9681061599999,638.3337132578966,热安全,1.0498600264374798,1.0231815394945443e-12
2.0,611.5637399999999,3,1.2,2.3,1.200283692,435.49356,701.1953736093442,775.99432616,701.1953736093442,热安全,1.0416462084729023,1.1084466677857563e-12
5.0,244.625496,0,0.3,1.4,0.754216692,301.67346,273.9084019945055,784.91566616,273.9084019945055,热安全,1.066353958725648,9.663381206337363e-13
5.0,244.625496,1,0.6,1.7000000000000002,0.9029056919999999,346.28015999999997,318.75572471466575,781.94188616,318.75572471466575,热安全,1.058099297634877,1.2105871860512707e-12
5.0,244.625496,2,0.9,2.0,1.0515946919999999,390.88685999999996,366.0871958290051,778.9681061599999,366.0871958290051,热安全,1.0498600264374798,1.0231815394945443e-12
5.0,244.625496,3,1.2,2.3,1.200283692,435.49356,416.0379012473915,775.99432616,416.0379012473915,热安全,1.0416462084729023,1.1084466677857563e-12
10.0,122.312748,0,0.3,1.4,0.754216692,301.67346,191.6423419379491,784.91566616,191.6423419379491,热安全,1.066353958725648,9.663381206337363e-13
10.0,122.312748,1,0.6,1.7000000000000002,0.9029056919999999,346.28015999999997,232.32649271748767,781.94188616,232.32649271748767,热安全,1.058099297634877,1.2105871860512707e-12
10.0,122.312748,2,0.9,2.0,1.0515946919999999,390.88685999999996,275.4289712918863,778.9681061599999,275.4289712918863,热安全,1.0498600264374798,1.0231815394945443e-12
10.0,122.312748,3,1.2,2.3,1.200283692,435.49356,321.0596108035716,775.99432616,321.0596108035716,热安全,1.0416462084729023,1.1084466677857563e-12
