扫描速率（K/min）,潜热（kJ/kg）,Q3最优新增层数,Q3基准时间（s）,Q4阈值（℃）,Q4负重上限（s）,二分下界,二分上界,最小放热倍率,最小提高比例（%）,Q4热安全时间（s）,Q4实际时间（s）,活动约束,状态,最大条件数,最大热流残差（W/m2）
0.5,2446.2549599999998,0,784.91566616,15.0,784.91566616,1.0,1.0,1.0,0.0,1756.3886248903862,784.91566616,负重,OK,1.066353958725648,9.663381206337363e-13
0.5,2446.2549599999998,0,784.91566616,10.0,784.91566616,1.0,1.0,1.0,0.0,1793.8119716240221,784.91566616,负重,OK,1.066353958725648,9.663381206337363e-13
1.0,1223.1274799999999,0,784.91566616,15.0,784.91566616,1.0,1.0,1.0,0.0,932.6956022794395,784.91566616,负重,OK,1.066353958725648,9.663381206337363e-13
1.0,1223.1274799999999,0,784.91566616,10.0,784.91566616,1.0,1.0,1.0,0.0,970.0543180755536,784.91566616,负重,OK,1.066353958725648,9.663381206337363e-13
1.25,978.501984,1,781.94188616,15.0,784.91566616,1.02117919921875,1.021240234375,1.021240234375,2.1240234375,781.9653617277125,781.9653617277125,热安全,OK,1.066353958725648,9.663381206337363e-13
1.25,978.501984,0,784.91566616,10.0,784.91566616,1.0,1.0,1.0,0.0,805.3104824419861,784.91566616,负重,OK,1.066353958725648,9.663381206337363e-13
1.5,815.41832,2,778.9681061599999,15.0,784.91566616,1.219970703125,1.22003173828125,1.22003173828125,22.003173828125,778.9692487221308,778.9692487221308,热安全,OK,1.066353958725648,9.663381206337363e-13
1.5,815.41832,2,778.9681061599999,10.0,784.91566616,1.1519775390625,1.15203857421875,1.15203857421875,15.203857421875,778.9724726830935,778.9724726830935,热安全,OK,1.066353958725648,9.663381206337363e-13
1.75,698.9299885714286,3,769.0848163519681,15.0,784.91566616,1.40234375,1.40240478515625,1.40240478515625,40.240478515625,769.1014327663792,769.1014327663792,热安全,OK,1.066353958725648,9.663381206337363e-13
1.75,698.9299885714286,3,775.99432616,10.0,784.91566616,1.33770751953125,1.3377685546875,1.3377685546875,33.77685546875,776.0187678951928,776.0187678951928,热安全,OK,1.066353958725648,9.663381206337363e-13
2.0,611.5637399999999,3,701.1953736093442,15.0,784.91566616,1.43780517578125,1.4378662109375,1.4378662109375,43.78662109375,701.2040361726689,701.2040361726689,热安全,OK,1.066353958725648,9.663381206337363e-13
2.0,611.5637399999999,3,774.807642959801,10.0,784.91566616,1.52587890625,1.52593994140625,1.52593994140625,52.593994140625,774.8084750993773,774.8084750993773,热安全,OK,1.066353958725648,9.663381206337363e-13
5.0,244.625496,3,416.0379012473915,15.0,784.91566616,1.86322021484375,1.86328125,1.86328125,86.328125,416.04276393956764,416.04276393956764,热安全,OK,1.066353958725648,9.663381206337363e-13
5.0,244.625496,3,490.6443484200815,10.0,784.91566616,2.08978271484375,2.08984375,2.08984375,108.984375,490.6452881497536,490.6452881497536,热安全,OK,1.066353958725648,9.663381206337363e-13
10.0,122.312748,3,321.0596108035716,15.0,784.91566616,2.57281494140625,2.5728759765625,2.5728759765625,157.28759765625,321.0610694246043,321.0610694246043,热安全,OK,1.066353958725648,9.663381206337363e-13
10.0,122.312748,3,396.27119831325496,10.0,784.91566616,3.03369140625,3.03375244140625,3.03375244140625,203.375244140625,396.2737679647514,396.2737679647514,热安全,OK,1.066353958725648,9.663381206337363e-13
