扫描速率（K/min）,Q4阈值（℃）,放热倍率,热安全时间（s）,实际时间（s）,Q3基准时间（s）,时间裕量（s）,满足目标,最大条件数,最大热流残差（W/m2）
0.5,15.0,1.0,1756.3886248903862,784.91566616,784.91566616,0.0,是,1.066353958725648,9.663381206337363e-13
0.5,10.0,1.0,1793.8119716240221,784.91566616,784.91566616,0.0,是,1.066353958725648,9.663381206337363e-13
1.0,15.0,1.0,932.6956022794395,784.91566616,784.91566616,0.0,是,1.066353958725648,9.663381206337363e-13
1.0,10.0,1.0,970.0543180755536,784.91566616,784.91566616,0.0,是,1.066353958725648,9.663381206337363e-13
1.25,15.0,1.0,767.9704915838021,767.9704915838021,781.94188616,-13.971394576197895,否,1.066353958725648,9.663381206337363e-13
1.25,15.0,1.02117919921875,781.9252737738888,781.9252737738888,781.94188616,-0.016612386111205524,否,1.066353958725648,9.663381206337363e-13
1.25,15.0,1.021240234375,781.9653617277125,781.9653617277125,781.94188616,0.023475567712580414,是,1.066353958725648,9.663381206337363e-13
1.25,10.0,1.0,805.3104824419861,784.91566616,784.91566616,0.0,是,1.066353958725648,9.663381206337363e-13
1.5,15.0,1.0,658.1578533704828,658.1578533704828,778.9681061599999,-120.81025278951711,否,1.066353958725648,9.663381206337363e-13
1.5,15.0,1.219970703125,778.9358935742911,778.9358935742911,778.9681061599999,-0.03221258570886221,否,1.066353958725648,9.663381206337363e-13
1.5,15.0,1.22003173828125,778.9692487221308,778.9692487221308,778.9681061599999,0.0011425621308944756,是,1.066353958725648,9.663381206337363e-13
1.5,10.0,1.0,695.4832785106404,695.4832785106404,778.9681061599999,-83.48482764935954,否,1.066353958725648,9.663381206337363e-13
1.5,10.0,1.1519775390625,778.9382435084357,778.9382435084357,778.9681061599999,-0.029862651564258158,否,1.066353958725648,9.663381206337363e-13
1.5,10.0,1.15203857421875,778.9724726830935,778.9724726830935,778.9681061599999,0.004366523093608521,是,1.066353958725648,9.663381206337363e-13
1.75,15.0,1.0,579.7249482935058,579.7249482935058,769.0848163519681,-189.35986805846233,否,1.066353958725648,9.663381206337363e-13
1.75,15.0,1.40234375,769.0720464878577,769.0720464878577,769.0848163519681,-0.012769864110396156,否,1.066353958725648,9.663381206337363e-13
1.75,15.0,1.40240478515625,769.1014327663792,769.1014327663792,769.0848163519681,0.016616414411032565,是,1.066353958725648,9.663381206337363e-13
1.75,10.0,1.0,617.0387338010454,617.0387338010454,775.99432616,-158.95559235895462,否,1.066353958725648,9.663381206337363e-13
1.75,10.0,1.33770751953125,775.9897668318749,775.9897668318749,775.99432616,-0.004559328125083084,否,1.066353958725648,9.663381206337363e-13
1.75,10.0,1.3377685546875,776.0187678951928,776.0187678951928,775.99432616,0.024441735192795022,是,1.066353958725648,9.663381206337363e-13
2.0,15.0,1.0,520.9025878318307,520.9025878318307,701.1953736093442,-180.29278577751347,否,1.066353958725648,9.663381206337363e-13
2.0,15.0,1.43780517578125,701.1787348266228,701.1787348266228,701.1953736093442,-0.01663878272142938,否,1.066353958725648,9.663381206337363e-13
2.0,15.0,1.4378662109375,701.2040361726689,701.2040361726689,701.1953736093442,0.008662563324719486,是,1.066353958725648,9.663381206337363e-13
2.0,10.0,1.0,558.2067266858874,558.2067266858874,774.807642959801,-216.60091627391364,否,1.066353958725648,9.663381206337363e-13
2.0,10.0,1.52587890625,774.7834075190153,774.7834075190153,774.807642959801,-0.024235440785673745,否,1.066353958725648,9.663381206337363e-13
2.0,10.0,1.52593994140625,774.8084750993773,774.8084750993773,774.807642959801,0.0008321395763459805,是,1.066353958725648,9.663381206337363e-13
5.0,15.0,1.0,273.9084019945055,273.9084019945055,416.0379012473915,-142.12949925288603,否,1.066353958725648,9.663381206337363e-13
5.0,15.0,1.86322021484375,416.0326259067401,416.0326259067401,416.0379012473915,-0.005275340651394345,否,1.066353958725648,9.663381206337363e-13
5.0,15.0,1.86328125,416.04276393956764,416.04276393956764,416.0379012473915,0.004862692176118344,是,1.066353958725648,9.663381206337363e-13
5.0,10.0,1.0,311.15808969030354,311.15808969030354,490.6443484200815,-179.48625872977794,否,1.066353958725648,9.663381206337363e-13
5.0,10.0,2.08978271484375,490.63523212419,490.63523212419,490.6443484200815,-0.00911629589148788,否,1.066353958725648,9.663381206337363e-13
5.0,10.0,2.08984375,490.6452881497536,490.6452881497536,490.6443484200815,0.0009397296720976556,是,1.066353958725648,9.663381206337363e-13
10.0,15.0,1.0,191.6423419379491,191.6423419379491,321.0596108035716,-129.4172688656225,否,1.066353958725648,9.663381206337363e-13
10.0,15.0,2.57281494140625,321.0560799211144,321.0560799211144,321.0596108035716,-0.0035308824571984587,否,1.066353958725648,9.663381206337363e-13
10.0,15.0,2.5728759765625,321.0610694246043,321.0610694246043,321.0596108035716,0.0014586210326683613,是,1.066353958725648,9.663381206337363e-13
10.0,10.0,1.0,228.86375804984027,228.86375804984027,396.27119831325496,-167.40744026341468,否,1.066353958725648,9.663381206337363e-13
10.0,10.0,3.03369140625,396.2687545022424,396.2687545022424,396.27119831325496,-0.002443811012540209,否,1.066353958725648,9.663381206337363e-13
10.0,10.0,3.03375244140625,396.2737679647514,396.2737679647514,396.27119831325496,0.0025696514964579364,是,1.066353958725648,9.663381206337363e-13
