温度（℃）,放热倍率,v=2有效比热（kJ/(kg·K)）,v=5有效比热（kJ/(kg·K)）,v=10有效比热（kJ/(kg·K)）,参考速率（K/min）,参考倍率
14.05,1.0,2.4,2.4,2.4,2.0,1.4378662109375
14.084,1.0,2.554193181818181,2.4616772727272727,2.430838636363636,5.0,1.86328125
14.118,1.0,2.715586363636363,2.526234545454545,2.4631172727272723,10.0,2.5728759765625
14.152,1.0,2.884779545454543,2.593911818181817,2.4969559090909086,,
14.187,1.0,3.061781350267379,2.6647125401069514,2.5323562700534756,,
14.221,1.0,3.2474745320855605,2.738989812834224,2.569494906417112,,
14.254,1.0,3.44185909090909,2.816743636363636,2.608371818181818,,
14.288,1.0,3.6452522727272707,2.8981009090909082,2.649050454545454,,
14.322,1.0,3.858245454545453,2.9832981818181814,2.6916490909090904,,
14.356,1.0,4.081138636363635,3.0724554545454543,2.736227727272727,,
14.39,1.0,4.314531818181818,3.1658127272727272,2.7829063636363633,,
14.425,1.0,4.5584336229946505,3.2633734491978603,2.83168672459893,,
14.46,1.0,4.813135427807486,3.3652541711229946,2.8826270855614973,,
14.493,1.0,5.079519986631016,3.4718079946524067,2.9359039973262036,,
14.527,1.0,5.357613168449199,3.5830452673796795,2.99152263368984,,
14.562,1.0,5.648014973262031,3.6992059893048124,3.0496029946524064,,
14.595,1.0,5.951299532085562,3.820519812834225,3.110259906417112,,
14.631,1.0,6.267209959893044,3.9468839839572176,3.173441991978609,,
14.665,1.0,6.596903141711227,4.078761256684491,3.2393806283422455,,
14.698,1.0,6.940087700534757,4.216035080213904,3.3080175401069516,,
14.733,1.0,7.297689505347591,4.359075802139037,3.3795379010695186,,
14.767,1.0,7.669682687165773,4.50787307486631,3.4539365374331545,,
14.801,1.0,8.056675868983955,4.662670347593583,3.531335173796791,,
14.835,1.0,8.45896905080214,4.823587620320856,3.611793810160428,,
14.87,1.0,8.876570855614974,4.990628342245989,3.6953141711229947,,
14.904,1.0,9.310064037433156,5.164025614973262,3.7820128074866313,,
14.939,1.0,9.759765842245992,5.343906336898397,3.871953168449198,,
14.973,1.0,10.225959024064172,5.5303836096256695,3.9651918048128345,,
15.005,1.0,10.70863495989305,5.723453983957221,4.06172699197861,,
15.04,1.0,11.208136764705886,5.923254705882354,4.161627352941177,,
15.075,1.0,11.724738569518715,6.129895427807487,4.264947713903743,,
15.11,1.0,12.258440374331549,6.34337614973262,4.37168807486631,,
15.144,1.0,12.809233556149733,6.5636934224598935,4.481846711229947,,
15.178,1.0,13.37742673796791,6.7909706951871645,4.595485347593582,,
15.211,1.0,13.962711296791444,7.025084518716579,4.712542259358289,,
15.246,1.0,14.565413101604276,7.26616524064171,4.833082620320855,,
15.281,1.0,15.18521490641711,7.514085962566844,4.957042981283422,,
15.314,1.0,15.82209946524064,7.768839786096256,5.084419893048128,,
15.35,1.0,16.47580989304813,8.030323957219252,5.2151619786096255,,
