扫描速率（K/min）,最小提高比例（%）,温度（℃）,v=2有效比热（kJ/(kg·K)）,v=5有效比热（kJ/(kg·K)）,v=10有效比热（kJ/(kg·K)）
2.0,43.78662109375,14.05,2.4,2.4,2.4
5.0,86.328125,14.084,2.6217091660933054,2.5149221058238633,2.4793439866499463
10.0,157.28759765625,14.118,2.853770968905361,2.635210461647727,2.5623929147061433
,,14.152,3.0970481281627267,2.761312254971589,2.649455529285776
,,14.187,3.3515530425780584,2.893233912621156,2.7405362675680065
,,14.221,3.618554994315896,3.0316333621950196,2.8360893728702967
,,14.254,3.8980539833762413,3.176510603693181,2.9361148451926486
,,14.288,4.190506167047671,3.328102084517044,3.04077593145197
,,14.322,4.496761866344103,3.486848565340908,3.150376939586292
,,14.356,4.817252441128816,3.652973639914772,3.2650722421542073
,,14.39,5.152840611128373,3.826924495738636,3.3851705842729047
,,14.425,5.50353877505542,4.008707559638201,3.51067640312154
,,14.46,5.869765894060594,4.198539998537767,3.641739634079551
,,14.493,6.252791250308441,4.39707974003593,3.778814520464403
,,14.527,6.652652039936905,4.6043460646097945,3.9219143738135687
,,14.562,7.070210982672542,4.820786159759358,4.071347939244234
,,14.595,7.506293602103984,5.0468279325075205,4.227410650336118
,,14.631,7.960530531931173,5.282279923232785,4.389970320426409
,,14.665,8.434585218044012,5.528004372806649,4.5596222538537
,,14.698,8.92803869929186,5.7837841143048125,4.736216515238552
,,14.733,9.4422222514025,6.050309209454378,4.920229533794219
,,14.767,9.977098678237994,6.327560377778241,5.111647997983228
,,14.801,10.53354309823755,6.615991233602104,5.310785090101924
,,14.835,11.111986871264453,6.91582537067597,5.517795182708904
,,14.87,11.712442396031344,7.227069215825535,5.73268271298332
,,14.904,12.335747594839495,7.5501571028994,5.955747551684048
,,14.939,12.982358624977483,7.885325479298967,6.187152945727997
,,14.973,13.652682048883287,8.23278508512283,6.427044393315443
,,15.005,14.346705467844268,8.592529493545289,6.675417457267232
,,15.04,15.064922235286941,8.964814432444856,6.932448696037742
,,15.075,15.807726514936638,9.349844215094418,7.198279170648094
,,15.11,16.575118306793375,9.747618841493983,7.472908881098293
,,15.144,17.367085212144495,10.158131884817848,7.756333390209177
,,15.178,18.18407098956592,10.58161336564171,8.048711507718497
,,15.211,19.02563188048174,11.017833263389875,8.349884423888508
,,15.246,19.892236440893157,11.467034452289438,8.660019822815267
,,15.281,20.783428513511613,11.928980484939004,8.978954457581871
,,15.314,21.699183300911805,12.403658507687167,9.306679453830004
,,15.35,22.63913143679369,12.890877060912436,9.643062624896862
,,15.383,23.60319852888138,13.390597583660597,9.988077347707494
,,15.417,24.591002812162184,13.902622189484461,10.34158699841994
,,15.45,25.601656769484247,14.426490837232622,10.703273957558698
,,15.485,26.635197596985513,14.962222807382187,11.07315153666124
,,15.52,27.690306417650845,15.509134465031753,11.45074774369347
,,15.553,28.76695843405494,16.067212956529914,11.83605370429707
,,15.588,29.863909161458555,16.635813207929484,12.228624049512897
,,15.621,30.980677645147804,17.214685918177643,12.628286658065715
,,15.657,32.11646315895937,17.80341603390291,13.034754970734133
,,15.691,33.2694782698769,18.40107704597677,13.447389311387985
,,15.724,34.439304016749745,19.007451787474935,13.866039744647837
,,15.758,35.62467111741336,19.621882330798794,14.29025202719622
,,15.793,36.823854132414624,20.24347430094836,14.719408668798762
,,15.828,38.03640930317761,20.871997677347924,15.15335085971771
,,15.86,39.26057399411124,21.506538804520385,15.591447798181214
,,15.894,40.49468475932565,22.146235441594254,16.033104179850696
,,15.928,41.73785408166896,22.790627547418115,16.47800238525064
,,15.96,42.98833172426274,23.438807893340574,16.925516049788367
,,15.996,44.244035280066505,24.089697071565844,17.374899933745848
,,16.029,45.504446598228405,24.743026500564003,17.825968604310386
,,16.064,46.767039513132026,25.397486751963573,18.277818012026213
,,16.097,48.030470350336905,26.052381337211735,18.729967290500905
,,16.131,49.29348222639114,26.707058755535595,19.18196663359616
,,16.166,50.55348698211507,27.360177444435163,19.632889805960424
,,16.199,51.81001606150743,28.01149452968332,20.082569123497617
,,16.234,53.06053090023917,28.659694156082885,20.530096099572816
,,16.266,54.30367542515719,29.30407340825535,20.97498543061445
,,16.3,55.53778619037159,29.943770045329217,21.41664181228393
,,16.334,56.76111295900395,30.577876838653072,21.85443887998856
,,16.369,57.97237405017709,31.205729433802638,22.287917953231727
,,16.401,59.17022578945057,31.8266313422251,22.716598165621015
,,16.434,60.352560972358575,32.43949030247326,23.139725403080085
,,16.47,61.51854167659984,33.04387198069853,23.556999794850068
,,16.502,62.6663556717327,33.638837014120995,23.967772790442485
,,16.536,63.79521463030647,34.22397677619485,24.371762267815082
,,16.569,64.90378727659339,34.79860120519302,24.768491797754628
,,16.603,65.99080432842888,35.36205237351688,25.157507136943632
,,16.638,67.05540306608638,35.91388309366644,25.538499540264922
,,16.67,68.09623981512549,36.4533968770889,25.910988141326083
,,16.705,69.1129576079588,36.980408690988476,26.274845190643475
,,16.738,70.10420037143321,37.49421561998663,26.629585384645512
,,16.773,71.07044906026259,37.995066965136196,26.97538084460743
,,16.806,72.00992864014324,38.48204264413436,27.311596331578215
,,16.841,72.92312006578905,38.95539195803393,27.638403966833103
,,16.873,73.80909862391017,39.41463558520638,27.955472819359105
,,16.909,74.66795110549522,39.85981851343166,28.262833949410346
,,16.94,75.49999728199352,40.29110649502841,28.560601794932968
,,16.975,76.30448602209243,40.70811018392797,28.84850754542223
,,17.01,77.08179909080467,41.111027466577546,29.12668782472009
,,17.045,77.83279920785671,41.500305530477114,29.395451377943722
,,17.077,78.55701781724736,41.87570150139956,29.654630520997067
,,17.112,79.25582339084235,42.23792472154912,29.904714994630854
,,17.145,79.9291539350785,42.586943056797296,30.145682612949308
,,17.179,80.57790936582026,42.92322297512116,30.37785543260707
,,17.213,81.20250864421826,43.246981643445025,30.601383388983578
,,17.249,81.8047020071509,43.55912629042028,30.81689284667152
,,17.282,82.38485882091828,43.85984837566845,31.02451599233372
,,17.315,82.94431036124816,44.149837960916614,31.224729255183416
,,17.349,83.48436310644301,44.42977225424047,31.418000190075542
,,17.382,84.00585497880417,44.70008558948864,31.604628667769
,,17.416,84.51096757507325,44.961908789062505,31.78539542541504
,,17.451,85.00013225511356,45.21546544671206,31.96045483557226
,,17.486,85.47506205966562,45.46164351061163,32.1304199512959
,,17.52,85.93790138933315,45.7015545226855,32.29605819819976
,,17.554,86.38952536255536,45.93565209725936,32.45768275858017
,,17.588,86.83165941878539,46.16483060933323,32.61591112267153
,,17.622,87.26646035733962,46.39020802765709,32.77151515326678
,,17.657,87.6952346565206,46.61246156030666,32.924962405220896
,,17.691,88.12011431821935,46.832696322380514,33.07701586696849
,,17.725,88.54197446087515,47.051365928204376,33.22798872080594
,,17.76,88.96341564238033,47.26981836710394,33.378811639263944
,,17.795,89.38615090347537,47.48894158725352,33.53009767539775
,,17.829,89.81146192503742,47.70939994307738,33.68230550970394
,,17.862,90.24107414651961,47.93208780957553,33.83605263241691
,,17.897,90.6767502035131,48.15791884222511,33.99196984530852
,,17.93,91.12016594062031,48.38776170872326,34.150656889896496
,,17.965,91.573096392145,48.62253649137283,34.31274900513185
,,17.999,92.03722980140236,48.86311828469668,34.47885036971147
,,18.032,92.51386024798225,49.110177869944856,34.649424101311176
,,18.066,93.00387524903648,49.36417528826871,34.82478781940643
,,18.102,93.50987536245744,49.62645852899398,35.005872196527974
,,18.136,94.03224235325777,49.89722547856785,35.192813856517766
,,18.17,94.57229509845264,50.17715977189171,35.3860847914099
,,18.205,95.13090871648126,50.46671502329128,35.58599818350073
,,18.238,95.71020281052209,50.766989921039446,35.79331258404574
,,18.271,96.3097708181371,51.0777737250376,36.007882494844644
,,18.306,96.9313629762048,51.399973663937175,36.23033428049016
,,18.341,97.57495448729979,51.73357688408674,36.460659066623954
,,18.377,98.24185182972465,52.079260593562005,36.69932440810096
,,18.41,98.93200540862874,52.43699908506016,36.94631255620456
,,18.445,99.64547721757532,52.80682449270972,37.20164569683054
,,18.478,100.38351174130364,53.189381890457895,37.465769198938055
,,18.51,101.14482729893649,53.58400692388035,37.73822438203047
,,18.546,101.93077996362697,53.99140250835562,38.01949654967935
,,18.581,102.74001366222198,54.41086572850518,38.30910039831314
,,18.615,103.57295975458483,54.84262017807905,38.60719030049044
,,18.65,104.42878031841421,55.28623152322861,38.913466385452345
,,18.682,105.30699439899628,55.741450462901064,39.22775653192367
,,18.716,106.2068012701677,56.20786194372493,39.54977418068299
,,18.751,107.12775717335259,56.685235945124504,39.87936052199257
,,18.783,108.06894979397373,57.17309957229697,40.21618906201857
,,18.817,109.02871568614124,57.67059058437082,40.55966449642242
,,18.85,110.00615493399066,58.177242513368995,40.90946476854947
,,18.885,111.00044201393332,58.69262745226855,41.26529444481997
,,18.919,112.00981429037819,59.21583174559242,41.62652272346211
,,18.953,113.03342144231132,59.74641463266627,41.99284529653783
,,18.986,114.06866291184046,60.28302812416445,42.36333149151645
,,19.021,115.11514453524012,60.825467906814,42.73784024737679
,,19.054,116.17022855848013,61.37236671081215,43.11542758005069
,,19.088,117.23265809810863,61.92307303538603,43.49564368339987
,,19.121,118.3006829172471,62.4766796518842,43.8778621928316
,,19.156,119.3726147725804,63.03231146578376,44.26147892964899
,,19.189,120.44624726994154,63.588824801031926,44.64570428234243
,,19.223,121.52032352587855,64.14556815685577,45.03008844477362
,,19.256,122.59266194364987,64.70141071085396,45.413850679791295
,,19.289,123.66111812265162,65.25524092110211,45.79622356178161
,,19.322,124.7239666234307,65.80616441260027,46.176589600510205
,,19.356,125.77992576510995,66.35351683092414,46.55449011548047
,,19.39,126.82682634966028,66.896173780498,46.92914880672026
,,19.422,127.86248678034003,67.43300443892046,47.2997849370783
,,19.456,128.8852312125466,67.96314013849434,47.66579876503685
,,19.49,129.89417212912818,68.48612083806819,48.02687267112038
,,19.522,130.8866965734798,69.00059212149066,48.38207154561904
,,19.557,131.8620038194381,69.50613893539021,48.73110882931143
,,19.589,132.8178626754108,70.00160475006268,49.07318603632962
,,19.622,133.75346001652193,70.48656808531084,49.40801217027307
,,19.656,134.66663904345506,70.9599109723847,49.7348153683488
,,19.69,135.55652463777102,71.42117979695855,50.053282448260454
,,19.723,136.42224168103058,71.86992094470672,50.36310022771171
,,19.757,137.26208953120593,72.30525289428058,50.663660090826504
,,19.791,138.07519306985782,72.72672203135446,50.954648855308484
,,19.823,138.86066477983445,73.13386831477692,51.23574890168215
,,19.857,139.6172601763965,73.52604667060078,51.506514860988354
,,19.89,140.34451070354282,73.90301422459896,51.766779049131024
,,19.924,141.04200979883527,74.26456023667279,52.01639596790986
,,19.956,141.7084261865463,74.60999464509527,52.254889188111655
,,19.99,142.343378101663,74.93911956341913,52.48212208589441
,,20.023,142.94639698818432,75.25169211741729,52.697926977162076
,,20.057,143.51750764353542,75.54772516074115,52.90231273627296
,,20.089,144.0558101518519,75.82675222541361,53.09495730657241
,,20.123,144.56178546784753,76.08902261248748,53.27603280933563
,,20.154,145.03450887823257,76.33405700033424,53.44520831354967
,,20.188,145.47405477528292,76.5618939499081,53.602510442289464
,,20.222,145.88081732272389,76.77273777448197,53.748080256576124
,,20.256,146.2539338008289,76.96614128655582,53.881609011292475
,,20.287,146.5946610930499,77.14275598690259,54.00354651257683
,,20.322,146.90179191078553,77.30195608205216,54.1134607030075
,,20.354,147.17653354263712,77.4443673654746,54.21178364000615
,,20.388,147.41894798216794,77.57002197129847,54.29853750946861
,,20.421,147.62856667337672,77.67867702529664,54.373554627298766
,,20.455,147.80627713341536,77.77079256862051,54.437152612972156
,,20.489,147.95249832343444,77.84658576819436,54.4894814018682
,,20.521,148.0667740861454,77.90582017661681,54.53037774706998
,,20.555,148.1504480959887,77.94919228244068,54.560322514969926
,,20.588,148.20305179696314,77.97645921143885,54.579148021471966
,,20.622,148.2254727062205,77.98808100476272,54.58717188605161
,,20.654,148.21767362762287,77.98403838193516,54.584380797171356
,,20.687,148.18012311717152,77.96457421718334,54.570942438927304
,,20.72,148.11367149588028,77.93012927118149,54.54716111925746
,,20.753,148.01831876374925,77.88070354392967,54.51303683816186
,,20.787,147.89450867935426,77.81652705600352,54.46872840537821
,,20.818,147.74262300770803,77.73779769385027,54.41437244474849
,,20.853,147.56317989966246,77.64478403899984,54.35015438908541
,,20.885,147.35609256422893,77.53744110367232,54.27604317813486
,,20.917,147.12226091727192,77.41623535584478,54.19236086855149
,,20.952,146.8617221549294,77.28118607599431,54.09912077187277
,,20.986,146.57485804221415,77.1324911505682,53.9964595119407
,,21.019,146.26253129885262,76.97059776706637,53.884685833872425
,,21.051,145.92387920511825,76.7950587379888,53.763490992550764
,,21.083,145.56020823931362,76.60655127141128,53.63334254283068
,,21.117,145.17154319886396,76.40508822098514,53.49424935907047
,,21.15,144.75827824749464,76.1908738999833,53.34635250229127
,,21.184,144.32000682276762,75.96369756830717,53.18950647429278
,,21.218,143.85801060556014,75.72422358038102,53.02416995557162
,,21.248,143.371377281295,75.47197904140207,52.85001645229399
,,21.284,142.86109355682535,75.20747540712735,52.66739908136867
,,21.316,142.32746680488793,74.93087200304981,52.476427843562654
,,21.348,141.76968390060668,74.64174734897226,52.27681174247537
,,21.381,141.18905132228423,74.34077865297044,52.06901833296179
,,21.413,140.58511291263196,74.0277294676429,51.85288436810499
,,21.445,139.95831243022573,73.70282981356536,51.62856865764271
,,21.479,139.30867467249092,73.36609254438922,51.396080075933284
,,21.513,138.6361748420022,73.0175048064631,51.15540974861839
,,21.546,137.9412318999102,72.65728376671125,50.90670761107746
,,21.579,137.22385824492756,72.2854358519594,50.649978100489655
,,21.612,136.48405387705432,71.90196106220756,50.38522121685497
,,21.645,135.7222501561537,71.50708299120572,50.112591332732
,,21.679,134.93802812107515,71.1005844720296,49.83193851274133
,,21.711,134.13178193554396,70.68266981795205,49.54340381790406
,,21.743,133.30353639698538,70.2533518826245,49.246996122578494
,,21.777,132.45374766268807,69.81286711344838,48.94287867368158
,,21.811,131.58195957536338,69.36097906302223,48.630888224296356
,,21.843,130.68901005731266,68.8981220651947,48.31132464518174
,,21.876,129.7745049448105,68.42409180669286,47.9840468753166
,,21.909,128.83843183914428,67.93888186069103,47.64905047752176
,,21.941,127.88120970146466,67.44270939411348,47.30648538717668
,,21.974,126.90329468906015,66.93581085436163,46.95651485119824
,,22.007,125.90424304335487,66.41795622085979,46.59898005984872
,,22.041,124.88492988278803,65.88959910793366,46.23419419542445
,,22.074,123.84489905007102,65.35050306818182,45.86199401100852
,,22.106,122.78415054520387,64.80066810160427,45.48237950660093
,,22.14,121.70401564391436,64.24078426992814,45.09582711141494
,,22.173,120.603594430338,63.67038510517631,44.70201476879589
,,22.206,119.48333066305068,63.089700627924465,44.30110128848152
,,22.239,118.34408706177899,62.49917802567262,43.893395415589026
,,22.273,117.18544466537232,61.8986001314965,43.47874721473898
,,22.306,116.00824139613187,61.28840127924465,43.057456556690234
,,22.338,114.812908613921,60.66880506266712,42.629677814001404
,,22.371,113.59903975630164,60.039600741665275,42.19526548847219
,,22.403,112.3674727455751,59.40122265008773,41.75451945086147
,,22.437,111.11824477787935,58.75369006841159,41.30745301270673
,,22.468,109.85258793924098,58.09764164375836,40.85450710578796
,,22.502,108.57014526207256,57.43289234333222,40.39555398062149
,,22.536,107.27174226996273,56.75987007415608,39.93088907078707
,,22.568,105.95735416548624,56.07856198257855,39.46050350192636
,,22.601,104.62831222437079,55.38965813032671,38.98487370325262
,,22.633,103.28459164919111,54.693145663749156,38.50399080040752
,,22.668,101.92667339466117,53.98927388389873,38.01802691466632
,,22.701,100.55535818694416,53.2784578441469,37.52726860525039
,,22.733,99.17108978461609,52.56092756506936,37.0318746818975
,,22.766,97.77475570482878,51.83714308781752,36.53216276408313
,,22.799,96.36677490873286,51.10732157931567,36.028282787186725
,,22.833,94.94802251476757,50.37191665388954,35.520547933504645
,,22.867,93.51891748408354,49.63114547846341,35.00910813841631
,,22.899,92.07986637911873,48.885218793135856,34.494108900122
,,22.932,90.63263183546422,48.135050253384016,33.97618102039357
,,22.966,89.17678249325675,47.38041626545789,33.45517012667243
,,22.998,87.71400659581148,46.622191923880344,32.93168039765546
,,23.032,86.24478509784228,45.860626529704206,32.405883954617906
,,23.066,84.76995592165045,45.09615441677808,31.87808066831864
,,23.098,83.28992562967392,44.32898632520053,31.348416036957925
,,23.132,81.80603789635316,43.559818743524396,30.817370926928184
,,23.165,80.31911824527678,42.78907957877255,30.285240771809125
,,23.197,78.8295980363081,42.016992424695026,29.75217994415936
,,23.231,77.33880854517481,41.24424734301888,29.21866487319211
,,23.263,75.84756289675299,40.47126581394134,28.684986555307965
,,23.298,74.3563544444691,39.69830356534091,28.151321548961292
,,23.332,72.8668590329257,38.92622926491478,27.618269595669837
,,23.365,71.37907666212277,38.155042912662935,27.08583069543359
,,23.4,69.89433860778809,37.3854345703125,26.55448127746582
,,23.43,68.41342079865971,36.61780643758356,26.024499026629606
,,23.464,66.93729754287801,35.85266354340742,25.49623262265455
,,23.498,65.46721332518226,35.090650961731285,24.97012743449981
,,23.531,64.00315574685978,34.331762265729445,24.446179024986222
,,23.565,62.546875044789026,33.57690468405331,23.92501375870648
,,23.597,61.09876538269532,32.82628252997577,23.40677269668171
,,23.631,59.65973907515581,32.08036869829964,22.891782332745716
,,23.665,58.23063404447178,31.339597522873497,22.380342537657384
,,23.699,56.81231301036977,30.60441619119736,21.87276205653389
,,23.73,55.40560149643842,29.875252610294122,21.369336322954965
,,23.765,54.01101765352952,29.152375361693682,20.870250769733282
,,23.797,52.62976877024441,28.43641023886614,20.37593745429054
,,23.83,51.261904441433664,27.727382949114304,19.88641412534336
,,23.864,49.909150106550406,27.026187867438168,19.40229827312612
,,23.896,48.57103720959341,26.332582119610624,18.92342221354275
,,23.93,47.24890942500313,25.647262194184492,18.450266812985667
,,23.966,45.94276675277954,24.970228091159758,17.982832071454865
,,23.998,44.65382888023662,24.30211203083222,17.52155448355119
,,24.033,43.38261395822616,23.643182594731783,17.066619482087322
,,24.067,42.1290723918976,22.99341407555565,16.618009318346644
,,24.101,40.89407929969013,22.353260087629515,16.1760371746255
,,24.134,39.67762228289109,21.722714204127676,15.740698613744726
,,24.167,38.481007819803004,21.102453633125837,15.312461190559265
,,24.201,37.30338558941193,20.492037613949698,14.891020597131087
,,24.233,36.14601247516978,19.892117647372157,14.4768266395985
,,24.268,35.008950470639796,19.30272586752172,14.069901503857288
,,24.3,33.8921251835461,18.723823713444187,13.670218566832517
,,24.335,32.79604236602784,18.155673339843755,13.27795882415772
,,24.369,31.72108378309769,17.59847263316761,12.893258899674846
,,24.402,30.66681807489241,17.051997999665772,12.515964420825323
,,24.435,29.633257640124636,16.516255866163938,12.146079824788302
,,24.469,28.62127759723357,15.991699846987801,11.783918293860124
,,24.503,27.630865547506563,15.478323515311665,11.429475390861633
,,24.537,26.66115877121706,14.97567968363553,11.082442370675643
,,24.569,25.712563830803038,14.48397909205799,10.74296473150243
,,24.604,24.785574079691028,14.003477468457557,10.411219031796382
,,24.637,23.879264804591212,13.533695491205716,10.086874340544512
,,24.671,22.994104561504827,13.074876034529577,9.770098341842894
,,24.703,22.130056154293936,12.62699981795204,9.46087772415406
,,24.737,21.286306458082553,12.189645361275904,9.158921491077443
,,24.771,20.46326203530867,11.763023404599766,8.864375140813326
,,24.806,19.660935284684935,11.347140374749332,8.577243110540868
,,24.838,18.878845251497484,10.941746970671794,8.297353278984845
,,24.873,18.116634968158905,10.546658159571358,8.024577896661606
,,24.905,17.37423004239332,10.161835380493818,7.758890340496205
,,24.939,16.651692467763972,9.787310767567682,7.500312796384435
,,24.972,15.948122328406345,9.422617852815842,7.248523207671628
,,25.006,15.263975781609032,9.067993083639706,7.003684821274701
,,25.038,14.59878427137079,8.723193585812165,6.765629953097582
,,25.074,13.952622189967522,8.388257920287437,6.534385226215221
,,25.107,13.32454002668411,8.062693911785594,6.30961083525632
,,25.142,12.714599775083816,7.7465336944351595,6.0913289661166745
,,25.175,12.122751840316036,7.4397515609333205,5.879521870079651
,,25.209,11.548170698792157,7.141919604257186,5.673894113565536
,,25.242,10.991262912950154,6.853248564505346,5.4745911947746055
,,25.277,10.451634319064704,6.573534128404912,5.281472052685742
,,25.309,9.928791563709277,6.302520568077372,5.094360128844562
,,25.344,9.422809039159766,6.04024644447694,4.91328204632601
,,25.377,8.93319339198964,5.7864560297251,4.738061246675705
,,25.411,8.459550458473574,5.540945010548965,4.568556668872528
,,25.445,8.001867839898907,5.303706960122826,4.404763875737316
,,25.479,7.559714176402373,5.074518284696692,4.246528494711484
,,25.512,7.133077069271312,4.853372557444853,4.093846088615867
,,25.547,6.721562354780387,4.640065465094416,3.9465755964293443
,,25.579,6.324676679503089,4.434341279766878,3.8045404596975394
,,25.614,5.9424944357152905,4.2362385624164425,3.667767301495393
,,25.647,5.574953629853763,4.045725178914606,3.536233935927121
,,25.68,5.221216339617233,3.8623667954127665,3.409640492233847
,,25.714,4.881294963718352,3.686169838736631,3.287991407594731
,,25.749,4.554758142293839,3.5169107151361967,3.17113230945118
,,25.782,4.242000039069027,3.354793737884358,3.0592042588243125
,,25.817,3.9422075291679515,3.1993974267839245,2.9519162593135735
,,25.849,3.654887259164086,3.0504660539563835,2.84909175246458
,,25.883,3.3801012226206733,2.9080317535302473,2.7507529241731206
,,25.917,3.1173932622491343,2.7718580781041102,2.6567365275222854
