扫描速率（K/min）,放热倍率,实际裕量（s）,热安全裕量（s）,边界角色,边界裕量（ms）
2.0,1.0,-180.29278577751347,-180.29278577751347,采样,
2.0,1.43780517578125,-0.01663878272142938,-0.01663878272142938,下界,-16.63878272142938
2.0,1.4378662109375,0.008662563324719486,0.008662563324719486,上界,8.662563324719486
2.0,1.5,25.59416368919142,25.59416368919142,采样,
2.0,2.0,83.72029255065581,231.50022867009545,采样,
5.0,1.0,-142.12949925288603,-142.12949925288603,采样,
5.0,1.5,-59.8146158446707,-59.8146158446707,采样,
5.0,1.86322021484375,-0.005275340651394345,-0.005275340651394345,下界,-5.275340651394345
5.0,1.86328125,0.004862692176175187,0.004862692176175187,上界,4.862692176175187
5.0,2.0,22.51955632984226,22.51955632984226,采样,
10.0,1.0,-129.4172688656225,-129.4172688656225,采样,
10.0,1.5,-88.29398515914221,-88.29398515914221,采样,
10.0,2.0,-47.151208809066134,-47.151208809066134,采样,
10.0,2.57281494140625,-0.0035308824571984587,-0.0035308824571984587,下界,-3.5308824571984587
10.0,2.5728759765625,0.0014586210326683613,0.0014586210326683613,上界,1.4586210326683613
